	GSM4705199	GSM4705200	GSM4705201	GSM4705202	GSM4705203	GSM4705204	GSM4705205	GSM4705206
CALU	2600	2174	1383	1703	1537	1348	2436	2185
CCDC136	24	11	4	9	4	6	6	2
SMO	15	9	12	7	7	8	0	3
IRF5	29	28	16	18	10	5	5	6
LRRC17	52	34	38	59	18	15	19	13
KLHDC10	229	170	132	186	190	200	134	144
NDUFA5	1380	903	634	997	997	761	965	880
FEZF1	2	0	2	1	0	1	0	3
OPN1SW	20	15	6	17	3	12	16	4
MRPS12	695	409	308	389	552	466	525	456
MYO1B	1121	977	643	870	1743	1483	1183	1188
HOXD1	2	2	0	0	0	1	0	0
HOXD3	3	0	1	1	0	0	1	1
MTX2	409	194	172	293	450	395	451	322
PDE11A	10	7	34	14	25	25	3	16
CHN1	70	65	45	51	57	50	50	35
GAD1	21	5	20	9	14	6	4	16
EIF2S2P4	48	24	35	30	49	42	50	29
OSGEPL1	62	36	22	59	76	40	37	34
ORMDL1	1256	808	470	639	836	794	821	667
HAT1	1804	1267	847	1223	1595	1489	1507	1249
HOXD9	1	1	3	3	0	0	1	0
HOXD10	35	12	21	50	9	5	106	68
HOXD11	16	13	13	35	10	3	75	62
HOXD13	1	0	0	0	0	0	0	0
HERC2	634	581	361	517	628	503	547	482
SNRPN	2322	1421	1161	1393	2244	2115	2393	2134
PSMG2	1054	619	442	685	889	803	593	536
TWSG1	819	519	377	499	480	453	369	329
ARHGAP22	15	9	4	7	9	1	2	6
WDFY4	40	13	6	11	20	6	11	18
EIF2AK4	350	293	201	247	461	431	240	158
MYO5C	24	8	14	15	32	28	11	7
CGNL1	21	6	25	13	12	4	7	6
TMOD2	11	5	12	13	17	3	11	8
TTBK2	124	101	82	100	117	94	70	63
ELL3	106	46	53	50	56	61	68	47
CCDC32	374	226	181	210	162	178	208	172
INO80	145	135	106	152	150	131	108	88
ICE2	255	211	184	214	349	362	211	216
DLL4	3	3	5	1	6	0	3	2
ALDH1A2	341	280	87	97	105	87	27	47
MINDY2	208	180	122	155	251	278	153	120
IVD	310	272	206	292	513	487	211	180
KNSTRN	117	37	47	60	58	62	67	46
DUT	698	459	337	425	563	450	573	489
CHAC1	206	208	36	39	5	3	23	14
CLN6	28	31	18	18	26	15	14	17
ARPP19	1126	777	508	632	621	503	811	723
VPS13C	454	317	286	361	516	439	289	303
CALML4	37	23	18	32	30	20	31	20
ISLR	6	2	2	0	1	3	0	1
THAP10	28	14	5	13	9	12	24	15
LOXL1	11	2	0	3	2	1	2	4
ACKR4	35	13	16	26	26	25	14	17
ANAPC13	1249	773	543	719	1076	979	790	635
MBD4	882	608	575	950	708	725	1318	1077
COPB1	1889	1369	1324	1932	2091	2166	1822	1494
PSMA1	3857	1990	1317	1785	2923	2545	2482	2280
SUMF2	470	267	367	363	494	476	351	312
PALLD	1265	756	519	500	642	571	292	266
SPCS3	938	532	401	571	590	500	670	571
BBOX1	1	2	13	5	6	10	2	1
MYOD1	0	0	0	1	0	0	0	0
SERGEF	102	82	77	94	204	152	97	98
KCNC1	7	8	4	7	10	3	5	7
TPH1	48	33	17	26	46	63	19	23
CSRP3	5	1	3	8	1	0	1	0
E2F8	1	1	0	10	7	10	3	3
DCTD	1378	772	466	582	762	765	609	546
SOX15	20	16	8	12	21	14	19	22
PIMREG	30	31	32	35	7	13	19	9
RPAIN	1067	660	472	677	980	814	669	614
USP6	49	22	18	26	14	17	16	19
SHBG	11	5	3	5	6	0	2	3
PLD2	65	27	29	36	215	167	16	20
AIPL1	2	5	2	0	5	1	4	2
CD68	184	145	65	121	220	156	88	82
TXNDC17	2470	1475	1140	1599	2458	2022	2258	2069
ATP1B2	17	19	9	12	8	3	11	13
FXR2	100	85	64	99	94	74	50	48
KIF1C	85	78	97	111	123	137	54	40
MPDU1	642	322	384	419	631	589	608	539
PHF20L1	657	488	359	493	562	475	544	480
LRRC6	34	32	20	18	34	29	18	22
CCNT1	265	231	239	346	264	246	286	286
PUS7L	293	210	182	242	249	206	179	152
KRI1	146	141	99	155	193	161	115	97
ILF3	735	837	675	949	938	855	551	540
SLC44A2	286	281	147	148	344	248	115	110
AP1M2	11	9	10	10	1	9	4	5
CDKN2D	72	59	34	35	62	49	34	48
MTUS1	102	90	55	60	50	52	51	56
KLK14	7	2	0	2	2	0	2	0
SIGLEC9	18	4	8	4	2	1	1	4
KLK10	9	2	7	7	2	4	4	3
KLK8	9	6	1	7	0	1	0	1
NGDN	721	384	287	400	463	358	679	540
RIPK3	6	6	0	5	3	1	1	0
ADCY4	18	8	5	4	2	0	2	3
RAB2B	301	256	136	226	205	218	160	160
BCL2L2	128	94	75	115	133	98	96	97
AJUBA	101	89	33	47	42	31	18	13
DTD2	65	66	56	75	113	100	49	46
PARP2	247	186	89	114	118	149	178	179
HEATR5A	258	220	129	193	221	187	121	123
FOXA1	1	1	1	0	2	0	1	0
SNX6	2006	1902	978	1450	1108	1113	1385	1039
EAPP	1314	792	498	545	584	567	766	570
EGLN3	9	5	8	5	37	14	43	64
MIS18BP1	135	84	89	90	75	84	121	83
NRL	27	27	11	31	18	21	21	13
RNASE1	541	437	290	462	59	48	310	284
NEDD8	3932	1938	1193	1567	2714	2377	2631	2641
DAD1	4161	1886	2083	2786	3278	2905	3653	2985
TEP1	88	73	55	76	78	67	61	45
EPB41L4A	132	147	89	115	83	57	103	105
CDO1	65	54	13	29	33	32	54	43
REEP5	3751	2257	1469	1826	2900	2620	2337	2017
ITFG1	765	546	415	534	990	830	674	582
QRICH2	27	14	10	22	8	11	4	5
FOXJ1	2	3	0	0	0	1	0	0
SEC14L1	684	531	540	681	1392	1176	571	581
RHBDF2	58	39	45	45	52	43	33	18
AANAT	10	3	4	3	2	0	5	2
ARHGEF6	611	613	366	472	304	258	296	266
MAP7D3	176	130	96	145	130	105	153	123
FGF13	11	8	52	33	37	26	8	11
ASH2L	14079	8244	5017	6565	7021	6535	11339	9871
TTI2	239	165	98	173	262	221	127	101
ART1	2	4	4	3	3	5	0	0
CHRNA10	8	7	7	8	6	10	4	2
CDKN1C	45	49	11	37	24	6	10	18
SGO1	20	9	4	12	4	6	11	7
TTTY1B	0	0	0	0	0	0	0	0
RPS4Y1	0	0	0	0	0	0	0	0
TTTY1	0	0	0	0	0	0	0	0
VCY1B	0	0	0	0	0	0	0	0
VCY	0	0	0	0	0	0	0	0
CDY2B	0	0	0	0	0	0	0	0
CDH15	11	3	1	0	4	5	12	7
KLF16	22	14	29	28	16	10	15	12
TMEM8A	166	120	113	147	321	258	90	86
MAU2	182	144	114	113	143	153	77	80
SHC2	35	13	12	19	21	17	2	0
PLPPR3	6	0	1	2	5	2	0	0
INS-IGF2	4	16	20	23	15	18	16	8
ABHD17A	28	18	24	39	46	21	9	19
LBP	3	4	3	7	6	4	1	3
SYT5	26	20	12	26	6	9	7	8
TNNI3	207	158	202	246	400	335	1308	1004
CBFA2T3	23	13	9	4	3	5	7	2
GAMT	29	18	10	17	162	116	13	15
PUDP	165	153	93	149	161	114	195	184
ERMARD	204	122	129	112	225	194	171	138
PHF10	1242	675	527	642	988	737	1347	1473
PRRG3	11	9	4	8	17	14	10	4
GALNT8	17	2	11	14	6	6	7	6
KCNA5	1	0	1	1	2	2	1	0
CRACR2A	217	162	182	187	246	226	327	380
NXNL2	22	7	10	9	14	3	3	7
STARD8	11	1	3	0	5	1	0	5
FAM155B	3	1	0	0	3	0	0	0
GDPD2	14	5	0	1	0	0	0	3
SAT1	41825	22170	10080	13165	30697	27198	23783	20177
GNL3L	84	124	116	155	132	142	98	89
SH3BP4	145	99	76	119	26	23	32	20
MOSPD2	468	350	248	284	204	184	177	179
DOCK6	87	60	50	36	35	32	32	27
ECSIT	83	67	66	80	86	86	63	40
LDLR	2062	1860	1849	2443	843	771	2669	3241
ELOF1	653	339	317	397	502	414	600	576
TSPAN16	9	5	3	3	2	0	2	4
ANGPTL8	5	11	3	3	3	3	4	4
PRKCSH	477	605	344	503	595	480	216	287
CNN1	18	10	21	32	4	5	19	14
CDC16	594	494	236	330	484	430	309	298
ZSCAN10	18	4	4	3	0	1	4	2
THEM6	9	5	1	7	11	8	0	1
NECTIN2	538	532	365	422	449	338	287	316
APOE	1376	1174	721	1133	1539	1296	1145	1270
TOMM40	157	119	73	60	92	103	87	102
APOC1	752	400	382	575	1821	1681	691	579
GADD45G	225	208	131	192	100	72	65	78
LRCH2	110	77	65	69	83	51	40	53
DPP6	7	8	5	8	7	8	3	6
XPO7	190	183	140	174	201	147	116	94
ACE2	1551	1655	549	861	560	485	4223	3763
FAM98C	33	21	11	14	26	23	10	7
SAFB2	119	131	132	202	204	152	93	102
RPL36	5685	2975	2859	4086	4596	4270	3696	3729
ATP8B3	23	20	18	30	26	15	9	23
GDF1	5	5	3	4	1	0	2	0
NCAN	20	9	5	8	2	3	3	6
KIF1A	52	15	11	16	4	4	4	10
GTPBP3	26	12	12	22	48	34	12	16
PLVAP	10	7	5	5	2	4	0	6
BST2	413	383	161	239	691	615	451	450
SLC27A1	54	50	61	57	40	31	12	21
NSUN5	62	39	54	62	99	90	50	56
USHBP1	20	5	5	3	6	3	4	6
COLGALT1	283	156	132	167	192	197	143	178
DDA1	483	340	293	442	348	343	437	371
MRPL34	663	398	238	302	414	441	327	302
PGLS	677	487	447	686	638	573	459	424
LSM7	817	305	350	457	697	589	510	515
TULP4	214	180	132	190	317	249	115	108
SNX9	339	285	189	216	184	224	203	183
RTN4IP1	68	61	37	53	160	192	52	43
QRSL1	196	180	105	163	178	195	116	91
C6orf203	234	175	136	146	281	229	193	130
RSPH3	129	122	74	87	116	115	82	94
MAS1	14	5	3	8	6	1	5	2
ACSBG2	13	9	0	9	4	6	12	3
MLLT1	60	58	57	93	98	61	52	37
FUT5	10	9	3	5	2	0	1	0
BMP15	1	0	0	0	0	1	0	0
AFDN	323	213	189	255	155	111	110	135
ACTN4	469	542	402	525	395	319	192	249
STK33	109	68	79	91	84	66	43	43
NDUFA10	657	515	392	482	803	686	638	580
EPO	8	4	3	2	0	0	3	2
ARPC1B	1094	894	650	875	749	781	816	697
CACNG6	0	0	0	1	3	0	1	3
ZSWIM6	190	153	168	232	89	56	91	100
FCHO1	45	39	15	18	8	11	36	41
UNC13A	42	29	12	18	7	6	5	14
MAP1S	99	105	85	129	44	50	26	37
KLHDC7B	6	0	2	0	0	0	0	0
SCO2	230	112	100	128	243	203	154	150
PXDN	659	651	533	841	391	349	448	494
SSBP4	87	53	63	72	49	63	58	60
GDF15	140	86	234	150	775	611	317	282
PGPEP1	75	62	32	45	62	52	32	22
IQCN	33	24	24	63	43	49	21	32
LSM4	948	361	312	505	690	707	641	481
JUND	349	226	283	442	238	180	328	307
HRC	12	8	1	4	0	0	2	4
TRPM4	72	66	57	51	77	63	19	35
OR11H1	2	3	0	3	2	11	1	1
SULT4A1	13	7	0	11	3	6	14	11
ZNF557	139	84	73	57	78	89	45	61
CRB3	1	0	1	3	1	3	2	1
OLFM1	26	25	14	7	1	2	49	54
CAMSAP1	138	107	102	123	130	109	81	55
UBAC1	56	34	33	48	57	53	38	36
SAG	23	12	10	14	6	9	5	8
ZBTB46	16	13	9	12	6	11	8	6
HELZ2	61	32	25	39	46	44	18	23
SAMD10	6	2	4	8	3	1	2	2
LSP1	26	14	2	10	3	6	8	5
TNNT3	2	2	0	2	0	1	0	2
TNNI2	5	3	0	2	0	0	5	4
H19	414	296	357	316	182	98	834	902
CYP2G1P	8	5	10	16	2	2	1	2
COL5A1	29	10	18	19	7	8	8	9
ATXN10	945	776	604	861	1116	1017	1021	819
TUBGCP2	536	399	305	455	469	424	403	336
CALY	0	3	1	1	0	0	0	2
CYP2E1	33	20	24	24	7	3	9	11
PNPLA7	29	27	8	9	15	7	9	3
HBZ	0	0	0	0	0	0	0	0
PAK4	103	73	65	99	85	51	36	36
MNX1	9	4	0	2	1	0	2	2
ZNF337	142	91	95	105	162	145	85	85
CEP85	103	74	52	75	133	107	35	43
TAF4	31	25	38	37	47	33	19	18
GATA5	2	4	0	0	0	1	0	0
RBBP8NL	8	2	1	4	3	0	4	1
LAMA5	186	94	98	129	168	139	152	135
OSBPL2	202	164	109	158	118	153	103	108
ADRM1	334	223	313	426	488	487	333	358
ASS1	145	131	57	59	141	139	87	91
PRDM12	4	5	2	0	0	1	1	0
EXOSC2	150	154	95	125	184	149	128	118
POMT1	101	59	86	75	139	107	45	41
UCK1	79	50	43	48	61	46	31	39
FIBCD1	11	7	4	8	17	11	4	3
PRRC2B	470	372	369	473	451	396	277	243
CHMP2A	2123	1472	914	1149	2151	1943	1752	1584
UBE2M	118	69	99	107	136	100	119	133
TRIM28	179	103	172	175	195	162	140	138
METTL26	416	312	245	358	396	360	328	330
YIPF2	111	81	73	104	115	121	80	93
ATG4D	45	22	29	36	47	42	18	22
EIF2S3	1010	930	554	741	966	796	527	499
TMEM160	288	173	52	84	66	72	100	116
ZC3H4	130	59	57	67	112	65	73	88
NPAS1	19	13	3	6	9	3	5	7
GMFG	23	7	4	11	6	3	7	9
MAP3K10	16	15	10	5	5	6	1	7
ARHGEF16	7	3	3	4	2	1	5	10
LRRC47	121	74	88	97	122	100	89	90
SESN2	90	93	67	49	79	79	62	35
SMPDL3B	3	7	10	2	8	2	2	3
ATP5IF1	1414	824	650	897	1069	864	1376	1207
MED18	91	51	66	57	118	132	73	74
THEMIS2	138	78	72	81	115	127	152	147
CLIP1	1083	1031	587	869	525	419	837	835
CCDC62	6	7	8	2	13	1	5	7
HIP1R	26	14	13	18	9	5	5	8
ZNF317	129	101	88	147	121	111	58	59
PPAN	32	26	28	35	45	32	24	27
EIF3G	493	388	526	748	577	578	463	466
ANGPTL6	76	56	26	32	43	43	21	37
C19orf66	153	120	93	99	79	80	54	72
DNMT1	175	131	104	155	108	124	107	92
ZNF426	198	182	114	129	199	134	130	131
SLC6A8	364	282	406	437	404	354	640	685
PNCK	169	179	414	471	119	95	349	418
DKC1	346	310	349	441	1357	1242	652	599
PLXNA3	169	119	133	150	98	89	77	87
DUSP9	7	9	17	11	3	0	12	12
MPP1	395	347	335	395	1120	983	401	411
ZNF331	137	86	65	77	71	55	1842	1630
ZNF236	67	73	59	59	89	89	49	67
SLC7A10	0	4	2	3	0	0	3	2
LRP3	17	8	5	12	14	7	10	3
C12orf65	263	204	139	202	213	211	114	86
NOL11	441	287	254	310	408	412	253	231
UBE4B	144	192	149	175	172	154	74	58
CASZ1	46	14	3	18	14	9	4	6
PKDREJ	6	5	4	3	5	2	3	2
HSD17B3	15	19	15	13	13	4	15	10
NUTM2F	7	5	1	0	1	1	0	2
HABP4	147	99	69	136	230	225	88	140
FBP2	2	1	1	0	0	0	0	0
SLC35D2	209	104	90	119	140	132	98	79
PRRG1	785	814	309	362	1003	953	554	533
UBA1	1875	2196	1277	1709	3649	2880	1391	1514
RGN	102	42	55	79	79	81	150	91
POLN	80	62	73	91	64	60	29	24
TXLNGY	0	0	0	0	0	0	0	0
TTTY9B	0	0	0	0	0	0	0	0
PPIL4	428	358	281	336	282	238	341	299
ULBP2	250	220	36	65	99	91	473	483
AKAP12	136	94	51	106	40	38	74	44
SYNE1	153	143	193	146	164	165	69	65
ULBP3	119	101	126	189	62	41	145	201
LATS1	483	378	245	286	354	297	192	221
EPS8L1	7	9	11	9	11	5	7	9
LILRB2	12	10	4	9	1	0	1	4
AAR2	296	239	161	185	280	243	174	197
TTLL9	17	9	5	6	3	7	6	5
BPIFA2	4	0	0	2	1	3	0	0
RBM39	3695	2680	1871	2500	3124	2858	2624	2406
COX4I2	4	0	2	0	0	1	0	1
BPIFA3	12	3	9	7	8	0	3	5
ZNF341	25	21	19	15	13	17	8	12
GGT7	49	39	34	45	29	20	24	17
DEFB118	0	0	3	0	2	1	0	0
ACSS2	653	616	306	383	202	197	230	253
EDA2R	69	47	75	57	60	59	50	38
ARHGEF9	119	93	92	79	107	56	55	59
C1QL1	1	0	0	0	0	0	1	2
GFAP	23	10	19	8	5	11	2	8
PYY	3	0	0	3	0	1	0	0
HIGD1B	7	5	0	7	9	1	6	3
ATP6V1E1	1352	769	571	758	804	759	1175	1047
ZNF227	124	97	69	78	127	94	67	50
ZNF428	349	205	168	179	221	180	171	209
TEX101	8	0	1	1	0	1	4	0
ZNF141	87	50	76	86	92	95	52	40
CCL25	2	2	4	3	1	1	1	2
COX4I1	5471	3560	2387	3076	4232	4044	4076	3582
EMC8	215	208	119	154	278	158	187	188
GSE1	348	200	223	304	267	247	161	186
AC010531.1	18	6	7	20	22	19	15	14
GINS2	24	13	25	24	18	14	17	18
CHMP1A	170	131	147	206	203	165	106	122
SH3BGRL	2440	1571	953	1403	1332	1096	1335	1119
COX7B	2697	1289	1160	1391	2058	1732	1796	1815
SLC34A1	6	4	5	1	8	1	1	4
F12	22	6	7	3	1	2	3	1
PRR7	14	8	6	6	6	1	5	8
NFATC1	26	23	5	19	4	5	6	14
IDO1	4	1	2	0	1	0	2	4
GJA9	35	67	21	61	26	20	13	9
CAP1	4350	3740	3206	3849	6362	5895	5435	5074
PPT1	3514	2560	2119	2534	4310	4000	3987	3455
RAB11FIP4	52	19	21	34	4	7	4	11
RLIM	409	486	228	342	375	342	363	357
CDX4	1	1	0	0	0	1	0	0
ABCB7	205	160	128	112	246	229	140	142
TRAF3	66	62	26	43	57	49	29	32
HAUS8	47	25	21	36	20	25	32	26
ADGRE3	17	7	12	16	4	1	5	9
MRPS25	347	247	249	307	853	663	271	277
SH3BP5	707	589	296	359	868	703	673	761
HACL1	315	154	148	180	288	272	189	175
TBC1D5	308	312	218	198	406	359	195	260
CAPN7	264	251	171	241	279	256	164	167
RFTN1	25	21	60	89	25	24	10	5
C3orf20	17	4	8	10	5	2	2	4
RBSN	134	113	79	82	156	110	69	79
GALNT15	72	86	31	36	68	60	49	43
SLC6A6	515	530	390	554	3057	2394	608	722
KCNC3	4	2	1	4	0	3	2	3
NAPSA	8	6	2	4	2	4	2	5
NAPSB	4	3	2	1	1	2	1	1
NR1H2	168	96	131	169	181	141	148	157
LRRC4B	1	1	0	0	3	3	2	2
PDLIM4	487	267	318	346	291	228	542	491
KIF3A	304	301	192	274	177	218	236	186
MGAT1	272	202	207	251	346	284	129	149
GFPT2	1067	1204	600	870	342	295	2207	2270
TUBG1	241	141	161	183	345	281	213	230
PSME3	585	476	378	632	817	720	478	444
RPL27	5766	3126	3540	4772	4887	4712	4154	4169
PSMC3IP	102	41	51	74	91	83	54	53
AOC3	118	74	147	200	214	144	118	113
ACLY	1220	959	666	846	579	472	476	589
VPS25	688	621	348	445	819	698	599	613
RAMP2	5	4	1	10	7	10	0	8
AOC2	126	92	126	108	172	155	256	213
G6PC	9	3	6	3	1	0	1	5
AC091132.1	0	1	1	1	0	0	0	0
NDUFA2	1478	741	736	1008	1314	1246	1100	1026
ANKHD1	663	530	469	439	526	504	341	285
DIAPH1	134	115	90	92	82	73	44	48
NDFIP1	1820	1466	1094	1657	2402	2334	1165	1107
UBE2D2	1325	905	746	894	1169	914	1048	968
TTTY6	0	0	0	0	0	0	0	0
TTTY6B	0	0	0	0	0	0	0	0
EXOC4	383	426	228	336	310	305	188	221
ACAP3	42	25	30	31	30	23	36	22
C1orf159	43	33	41	43	42	19	12	25
ANO1	13	9	8	5	1	2	5	3
PPFIA1	307	257	221	209	312	223	281	250
TMEM204	4	3	0	4	1	2	4	0
KREMEN2	1	0	0	0	0	0	0	0
THOC6	112	87	68	76	105	90	111	77
TRAF7	257	291	176	228	279	228	115	142
BARX1	2	0	0	0	0	0	5	4
NINJ1	156	157	83	102	121	82	76	100
CA6	1	1	1	4	3	0	2	1
NPHP4	35	36	12	21	22	34	21	24
MAP1B	1469	1142	683	902	1125	1067	615	525
RHOXF2	4	4	0	1	0	0	1	3
IL13RA1	274	258	178	196	371	330	143	154
WDR44	656	517	514	649	1076	1035	470	437
CKMT2	14	15	10	12	45	44	11	17
ZCCHC9	189	161	86	120	250	219	107	86
KRT34	5	1	2	4	0	1	0	1
KRT33B	0	1	1	1	0	2	0	1
TNS4	8	4	2	1	1	0	3	6
TOP2A	95	75	91	81	31	47	61	56
STARD3	165	106	150	137	294	201	114	111
RARA	70	69	78	92	52	33	34	29
PPP1R1B	13	11	4	5	3	3	16	5
KHDRBS3	20	16	17	14	28	14	14	10
CHD1L	231	224	204	182	260	259	243	211
PEX11B	286	277	113	178	186	148	137	111
FMO5	58	82	96	105	77	77	73	56
PIAS3	200	261	141	255	163	153	85	129
PRKAB2	534	463	196	259	212	193	260	209
CLUHP3	9	16	4	5	6	2	2	2
FSHB	1	1	3	0	1	0	0	0
PDHA1	514	371	314	412	538	524	599	523
RAI2	39	33	14	26	52	40	14	21
MCCC2	266	257	163	204	877	745	235	225
ZNF304	104	83	51	73	97	95	60	63
ZSCAN5A	53	58	59	89	48	58	41	37
ZNF132	40	31	20	20	36	25	9	18
USP29	3	3	8	1	3	2	0	1
SELENOS	1991	790	606	886	1230	1058	1315	1019
CHSY1	571	474	301	475	456	407	608	590
SNRPA1	533	406	261	367	599	569	542	447
KRT17P1	1	0	0	0	1	0	0	1
LLGL1	100	29	38	52	54	44	26	37
NR0B2	1	3	0	0	0	1	1	3
LIN28A	5	4	4	0	4	0	1	0
THAP1	265	141	98	123	147	149	153	121
RHPN2	25	18	15	15	35	31	36	20
C19orf12	236	195	142	149	172	134	100	71
FAAP24	55	39	21	26	36	46	43	27
LRRC9	13	6	18	15	18	12	14	12
ACTR10	1455	882	596	709	994	869	1016	928
ABHD12B	14	16	16	20	22	14	5	11
GCH1	45	21	12	28	18	13	11	4
LGALS3	1189	799	527	607	1267	1086	769	709
UBE2L2	0	1	1	0	1	0	0	0
PODNL1	10	2	4	10	4	1	3	7
DNAJB1	1268	1443	1536	2863	3978	3602	2535	2344
ZSWIM4	33	36	24	26	21	14	18	14
FBXW9	33	41	16	24	23	40	15	9
RFX1	54	50	32	60	34	26	12	23
ZNF20	83	84	41	33	100	67	20	19
C19orf57	23	9	13	7	13	5	3	9
DCAF15	28	6	9	13	10	11	15	18
CC2D1A	29	28	27	32	27	39	13	18
RTBDN	8	11	6	0	0	4	7	7
MATN3	43	35	22	39	32	22	18	16
TRIM21	133	115	39	57	99	91	51	40
SPATA6	44	31	39	36	49	41	19	24
LRRC41	234	272	280	334	333	270	198	197
CCT6B	38	17	25	29	30	28	20	19
DHX30	335	344	245	297	388	321	244	229
RAF1	1172	826	643	774	917	822	430	456
SLC6A11	14	0	10	8	2	5	0	3
PPARG	1461	1109	735	917	532	436	1007	772
NUP210	71	42	54	56	76	51	39	35
FCRLA	2	2	2	5	1	1	1	1
HSD17B7	874	677	506	645	724	692	718	573
ENOSF1	308	279	139	184	300	317	384	376
LINC00470	1	2	16	6	9	4	3	0
EMILIN2	233	135	108	126	327	253	286	286
SLX1A	20	8	5	12	8	5	3	11
ARFIP2	355	328	245	255	266	254	260	280
TRIM5	257	234	114	163	219	174	136	114
CNGA4	10	5	1	3	1	2	1	1
TRIM22	66	80	47	70	396	325	64	63
RRP8	123	83	85	103	169	107	65	81
TIMM10B	753	517	396	532	426	388	397	383
EFR3A	338	247	198	334	367	358	237	177
HHLA1	4	4	9	1	9	5	1	3
PTCD3	633	451	306	409	658	572	418	348
IMMT	669	525	450	669	869	803	684	615
MRPL35	479	286	244	320	447	471	370	262
IQCA1	3	11	13	21	14	3	6	8
ILKAP	308	228	169	206	251	239	210	185
PER2	28	30	18	25	61	47	39	28
RAMP1	1123	669	364	464	2035	1682	1290	1125
SCLY	36	38	21	29	71	56	23	24
PTPRE	193	175	71	75	117	117	178	131
RAN	7746	4028	3602	4551	7636	7121	8393	7140
PRKAA1	370	281	205	311	637	661	219	215
CARD6	53	59	6	8	65	27	25	18
RAP1GAP2	33	27	16	21	28	22	24	22
CLUH	64	49	34	39	52	55	23	16
INPP5K	231	151	102	123	141	135	130	114
MYBBP1A	39	53	57	52	61	67	26	31
RPA1	282	284	142	229	255	276	201	217
SERPINF1	88	66	72	81	28	30	68	40
UBE2G1	196	171	160	186	216	163	128	101
EEFSEC	58	53	36	50	47	58	48	45
TBC1D14	126	87	79	89	361	336	66	61
TMEM128	593	234	247	302	527	434	357	335
COQ3	67	54	34	44	98	101	70	61
PNISR	1727	1342	692	1024	1103	1108	1067	873
POPDC3	359	203	139	173	236	218	299	182
SEC61G	2344	1235	1288	1989	1669	1484	2492	2286
LANCL2	127	90	80	108	136	132	96	82
FIGNL1	61	82	53	56	60	49	66	57
DDC	2	4	1	3	4	2	3	0
FTHL17	0	1	0	0	0	0	0	0
GRSF1	1206	1004	880	1081	1309	1015	1206	1241
ENAM	11	6	36	12	1	6	5	5
JCHAIN	4	0	1	2	3	3	5	2
ANKRD17	673	772	485	660	686	683	432	443
UTP3	261	267	261	419	417	386	352	298
ITGB4	27	21	18	12	3	1	3	8
WBP2	775	803	521	624	631	527	402	394
H3F3B	15223	9502	6262	8144	10317	9329	15197	11491
UNK	200	132	75	111	142	97	138	137
TRIM47	30	16	23	26	21	8	3	13
ZRANB2	1210	843	713	1074	798	775	847	759
ANKRD20A3	2	3	6	3	7	2	1	8
EIF5A	1211	718	1065	1263	1249	1054	946	914
KDM6B	92	127	144	237	206	173	80	106
CLEC10A	9	6	2	0	3	2	0	4
SLC52A1	7	4	1	1	2	3	3	4
GUCY2D	7	7	3	2	12	4	3	3
GPS2	890	550	604	736	806	691	750	672
XAF1	211	172	32	72	104	67	59	77
DLG4	54	65	41	50	30	33	22	16
RIDA	475	404	214	330	854	712	365	321
VPS13B	292	263	174	192	267	244	161	142
RGS22	17	2	18	14	20	10	8	7
MATN2	67	52	44	58	35	30	15	14
REEP2	32	14	9	21	2	4	10	11
PCBD2	72	51	47	53	45	58	37	32
SDF2	826	386	425	463	691	602	681	700
FLOT2	196	198	89	154	180	118	101	104
ERAL1	182	100	137	194	251	244	176	175
PRMT7	58	40	30	32	77	56	20	24
NIP7	433	335	259	296	410	428	296	290
TERF2	87	77	54	95	64	56	57	71
VPS4A	332	275	278	346	403	351	170	182
MTSS1L	20	15	21	21	20	20	10	9
HSPA12B	9	5	10	2	0	0	3	3
ANKEF1	13	9	25	33	33	28	7	7
SCP2D1	0	0	0	0	0	0	0	0
PCED1A	117	178	92	154	241	171	53	67
SNAP25	101	51	60	66	13	12	171	124
BTBD3	402	392	183	223	553	479	224	201
PCNA	664	464	480	566	439	448	632	542
NXT1	189	107	145	168	206	193	210	162
POLR3F	149	90	68	93	104	105	81	80
RIN2	377	80	152	188	623	511	248	238
PTPRA	409	282	183	255	773	619	299	317
SSTR4	4	6	0	2	1	0	0	0
DAP3	476	373	346	450	697	650	506	409
RHBG	15	7	3	3	13	10	1	0
KHDC4	180	138	182	214	212	173	138	151
ATP1A4	11	3	11	12	6	16	18	9
NES	7	11	2	5	5	1	5	12
BCAN	8	13	6	0	0	0	3	3
CRP	5	2	4	1	2	2	0	0
ARHGEF11	46	45	41	47	45	44	24	20
RAB25	8	1	3	3	0	1	1	1
HAPLN2	11	5	6	7	4	3	8	15
APCS	4	1	4	0	1	0	0	1
FCRL2	2	0	2	5	4	3	3	0
DCAF8	413	298	189	336	397	368	187	173
SYT11	1128	1112	592	760	546	442	840	896
IGHMBP2	39	38	34	31	38	26	21	19
ACY3	2	2	0	3	0	2	1	0
ALDH3B2	15	3	8	4	1	2	4	3
TESMIN	14	11	4	13	15	12	7	5
MMACHC	2329	1692	1358	1686	1537	1397	2061	1698
DPH2	64	51	48	51	76	71	31	40
TOE1	53	28	26	48	55	40	40	36
NASP	462	498	364	545	406	401	296	289
MUTYH	23	20	19	22	41	25	19	21
CTNNBL1	479	339	310	363	572	536	438	322
LPIN3	88	35	47	51	110	66	30	20
ZSWIM3	34	27	14	27	23	5	2	5
RBM38	32	16	22	45	39	30	29	27
VSTM2L	17	29	14	21	2	2	15	11
