	GSM5138279	GSM5138280	GSM5138281	GSM5138282	GSM5138283	GSM5138284	GSM5138285	GSM5138286	GSM5138287	GSM5138288
PTK2B	15.94	20.43	69.1	12.95	22.73	19.72	54.27	36.95	40.89	22.15
BPTF	166.21	189.47	162.53	143.09	72.16	148.2	142.83	120.04	141.4	139.89
FANCB	0.56	1.76	1.53	1.65	2.41	0.56	1.44	1.07	1.86	1.62
FANCF	5.83	4.34	5.88	5.77	5.65	5.23	5.37	4.78	7.27	6.28
FANCG	5.02	4.37	6.01	4.82	5.41	5.07	3.64	3.54	3.43	4.02
ALDH1B1	23.78	15.27	19.28	19.21	15.19	22.34	26.9	30.44	18.19	24.89
FAP	0	0.52	0.26	0.08	0	0	0.21	0.14	0.06	0.24
FBLN1	8.95	16.31	8.46	12.86	8.14	6.2	5.75	5.19	7.56	7.95
SAMD9L	21.84	24.25	31.23	23.45	10.78	13	70.9	19.76	9.46	24
FAM123A	0	0	0.1	0.14	0.16	0	0	0.08	0	0
ATAD3C	2.93	2.87	2.97	3.17	0.88	3.99	1.44	1.26	1.11	2.93
FARSA	25.47	16.94	12.36	19.55	33.83	24.25	24.28	27	18.27	10.73
USP12	100.77	81.78	102.8	97.62	60.23	96.73	67.43	120.39	89.99	127.88
LOC219347	3.52	4.54	3.68	1.38	1.36	3.62	2.33	3.65	3.13	2.29
PLAC9	0.09	0.17	0.35	0.08	0	0.02	0.05	0.23	0.09	0.03
FASN	261.32	247.37	374.53	157.71	134.42	367.76	393.24	199.26	341.44	510.66
MTIF3	24.62	25.12	22.01	25.38	27.86	21.57	27.46	28.77	31.31	25.72
OR4C16	0	0	0.04	0	0	0	0	0	0	0
OR4S2	0	0	0.05	0	0	0	0	0	0	0
OR4C6	0	0	0.05	0	0	0	0	0	0	0
OR5D14	0	0	0.01	0	0	0	0	0	0	0.02
OR5D18	0	0	0.04	0	0	0	0	0	0	0
OR7E5P	0.19	0.06	0.05	0.11	0	0	0	0	0.01	0.17
OR5AS1	0	0	0.06	0	0	0	0	0	0	0
OR8K5	0	0	0.02	0	0.24	0	0	0	0	0
OR8H1	0	0	0.07	0	0	0	0	0	0	0
OR8K3	0	0	0.02	0	0	0	0	0	0	0
OR5R1	0	0	0.02	0	0	0	0	0	0	0
OR5M3	0	0	0.01	0	0	0	0	0	0	0
OR5M8	0	0	0.05	0	0	0	0	0	0	0.13
OR5M11	0	0	0.04	0	0	0	0	0	0	0
OR5AR1	0	0	0.02	0	0	0	0	0	0	0.04
FAT1	740.35	683.18	905.42	794.62	504.44	615.77	572.16	619.41	721.21	782.42
OR5AK4P	0	0	0	0	0	0	0	0	0	0.01
LRRC55	0	0	0.05	0	0	0	0	0	0	0.02
SMTNL1	0.11	0.11	0.58	0.58	0	0.64	1.2	0.14	0.44	0.48
YPEL4	0.92	1.43	2.15	1.68	2.02	1.4	1.02	0.95	0.99	1.65
MED19	12.24	9.9	15.27	15.05	15.59	14.12	11.74	12.14	12	17.84
ZNF804B	0.04	0	0.17	0.08	0	0	0	0	0	0.13
FAT2	1.9	2.47	1.96	2.37	1.28	1.27	0.96	1.38	0.67	0.81
C10orf107	0	0.22	0.06	0.14	0.08	0.07	0	0.08	0.11	0.03
TMEM26	0.41	0.37	0.46	0.03	0	0	0.05	0.99	0.29	0.32
ZCCHC24	11.2	13.79	12.35	9.23	11.97	12.86	8.69	8.76	8.7	8.12
ENKUR	0.41	0.65	0.91	0.15	0	0.68	0.8	0.37	0.4	0.84
ARMC3	0.11	0.62	0.2	0.24	0.08	0.32	0.53	0.45	0.23	0.74
UNC5B	55.92	40.95	37.35	24.97	28.26	56.89	39.2	34.27	31.76	59.12
FAU	111.15	66.96	122.9	111.04	169.48	105.31	103.87	148.58	97.16	134.68
LOC219731	0.26	0	0.05	0	0	0.11	0	0	0	0.13
STOX1	1.18	0.57	1.12	1.87	0.32	0.47	0.91	0.74	0.63	0.9
C10orf35	0.56	0.11	0.15	0.27	0.72	0.61	0	0.25	0.14	0.13
TYSND1	7.12	4.04	6.25	3.31	5.07	6.68	4.17	3.69	3.27	3.59
ZNF25	15.94	21.14	15.8	21.1	10.74	11.09	22.43	17.93	18.87	14.71
GJD4	0.32	0	0.14	0	0	0	0	0	0	0
CCNY	57.78	51.76	78.59	64.89	54.46	57.73	61.79	56.53	67.2	68.96
RTKN2	1.26	1.39	1.96	3.39	2.29	0.61	0.99	1.4	1.17	1.27
C10orf27	0.15	0.26	0.1	0.05	0	0	0.05	0.02	0	0.01
C11orf45	0.34	0.37	0.37	0.35	0.72	0.57	0.16	0.21	0.37	0.61
HYLS1	1.39	1.06	1.5	1.65	0.36	0.5	1.28	0.78	0.74	0.95
TMEM218	12.07	9.52	11.24	9.01	12.49	8.97	12.94	14.55	12.12	10.69
SLC37A2	18.99	13.24	24.01	14.61	9.98	18.45	18.31	13.19	11.49	18.86
OR8B12	0	0	0.05	0	0	0	0	0	0	0.09
OR8G5	0.04	0	0.02	0	0	0	0	0	0	0.03
OR10G8	0	0	0.01	0	0	0	0	0	0	0
OR10G9	0	0	0.02	0	0	0	0	0	0	0.04
OR10S1	0	0	0.19	0	0	0	0	0	0	0.02
OR6T1	0	0	0.11	0.08	0.32	0	0	0	0	0.02
OR4D5	0	0	0.1	0.08	0	0	0	0	0	0.02
TBCEL	40.19	45.19	37.86	39.82	32.27	28.09	40.67	35.9	32.16	40.46
FBLN2	0.56	1.33	1.95	0.65	0.8	0.91	1.55	0.74	0.53	1.21
TMEM136	9.49	9.63	12.86	11.03	6.98	7.31	5.4	9.4	4.92	7.26
MRPL21	14.66	14.95	14.93	20.89	18.82	15.69	23.66	23.2	19.12	25.13
TPCN2	7.31	7.28	10.06	3.58	4.55	6.88	7.51	5.69	5.5	6.05
SPATA19	0	0	0	0	0	0	0	0	0	0.04
OR6Q1	0	0	0.01	0	0	0	0	0	0	0
OR9I1	0	0	0.05	0	0	0	0	0	0	0
OR9Q1	0	0	0.07	0	0	0	0	0	0	0
OR9Q2	0	0	0.01	0	0	0	0	0	0	0
OR1S2	0	0	0.04	0	0	0	0	0	0	0.09
OR10Q1	0	0	0	0	0	0	0	0	0	0.01
OR5B17	0	0	0.04	0	0	0	0	0	0	0
OR5B21	0	0.09	0.1	0	0	0.07	0	0	0.29	0.02
GLYATL2	0	0.28	0.05	0.08	0.28	0.05	0	0	0	0
MPEG1	28.59	23.74	55.18	11.11	26.04	11.61	51.63	11.73	30.31	55.47
OR5A2	0	0	0.02	0	0	0	0	0	0	0
OR5A1	0	0	0.02	0.03	0	0	0	0	0	0
OR4D6	0	0	0.04	0	0	0	0	0	0	0
OR4D11	0	0	0.04	0	0	0	0.11	0	0	0
PATL1	47.76	58.02	57.14	52.22	27.66	59.88	46.33	44.78	62.97	53.85
PLAC1L	0	0	0.47	0	0	0	0.03	0	0	0.04
MS4A15	0	0.26	0.26	0.16	0.04	0.07	0	0	0.4	0.26
ABCB7	22.12	19.98	19.12	23.9	19.04	20.85	23.42	30.77	23	18.3
ALDH1A3	6.62	3.58	28.28	26.46	29.45	17.88	23.66	24.38	55.21	21.27
FBN1	168.22	149.47	170.56	127.63	103.49	120.14	106.89	199.75	135.31	155.52
VWCE	2.89	2.56	2.47	2.8	0.84	3.17	1.02	1.15	1.29	2.17
CYBASC3	14.96	9.64	12.01	9.13	17.14	11.14	17.24	11.68	9.92	10.12
C11orf66	0.7	1.84	1.22	0.91	1.08	1	0.53	0.76	0.26	0.47
GDPD4	0	0.03	0.06	0.03	0	0.29	0	0.04	0.43	0.07
C11orf82	0.38	0.59	1.39	0.7	2.1	0.68	0.75	1.4	0.6	1.12
CCDC83	0.43	0.12	0.11	0	0	0	0	0.08	0	0.21
ORAOV1	5.3	4.98	7.19	6.31	2.2	8.42	4.3	5.26	2.86	7.03
SHANK2-AS3	0.11	0.15	0.46	0.09	0.14	0.3	0.16	0.12	0.21	0.21
LRTOMT	11.65	9.46	11.81	7.85	7.72	10.53	8.9	8.88	5.53	9.6
FAM194B	0.04	0	0.09	0.16	0	0.14	0	0.04	0	0.07
SPERT	0	0.12	0	0	0	0	0.05	0	0	0
FBN2	10.21	6.33	8.71	3.33	3.75	7.25	5.94	10.39	15.3	8.07
DLEU7	0	0.12	0.4	0	0.4	0	0.27	0.04	0.06	0.24
FAM124A	3.21	2.21	2.57	1.68	1.22	1.63	1.44	1.26	1.07	2.06
TPTE2P3	0	0.11	0.41	0.27	0.22	0.11	0.16	0.08	0.46	0.07
SKA1	24.89	24.55	38.01	17.29	12.99	29.68	20.37	16.01	15.75	30.58
CCDC11	0.68	0.62	0.63	0.79	1.06	0.93	0.7	0.82	0.2	0.81
DOK6	7.88	7.24	9.34	18.2	6.11	5.77	5.21	5.79	8.53	4.58
EFEMP1	229.08	228.32	231.57	266.9	309.61	278.78	325.89	325.81	449.42	309
ATOH7	0.19	0.08	0.05	0.19	0.2	0	0	0.25	0.26	0.13
OTUD1	58.85	52.49	70.58	61.96	49.15	71.53	33.93	38.45	50.45	69.05
HEPACAM	0.08	0	0	0	0.1	0	0	0	0	0
FBP1	5.64	6.34	8.51	6.63	5.57	6.56	8.61	6.97	7.42	9.53
OAF	6.62	4.83	13.86	5.74	10.36	9.55	8.5	9.21	9.23	12.64
TIGD3	0.86	0.91	0.75	0.95	0.88	1.67	1.07	0.39	1.13	0.67
FAM181B	0	0	0.12	0	0	0	0.05	0.08	0	0
CCDC89	1.65	1.11	1.08	1.79	1.84	0.61	0.56	1.01	1.06	0.74
FCAR	8.27	11.54	23.58	6.19	11.75	8.92	30.59	7.81	11.1	29.82
CTAGE10P	0.96	0.66	0.5	0.16	0	0	0.21	0.12	0.17	0.07
RNF152	0.83	0.48	0.81	0.24	0.56	0.97	1.02	0.33	0.51	0.62
FCER1A	0.56	1	1.8	0.57	3.31	0.23	1.98	1.32	1.13	1.91
LOC220594	3.36	11.86	8.83	12.42	4.15	6.77	6.44	3.34	12.46	6.54
MS4A2	0.43	0.34	0.76	0.64	0.02	0.56	0.21	0.49	0.4	1.01
FCER1G	8.74	11.2	13.07	3.14	7.56	4.87	23.45	3.44	7.72	13.6
LOC220729	2.84	4.26	6.86	4.42	2.97	5.27	3.85	3.5	4.34	6.71
FCER2	0.71	0.34	0.78	0.46	0.44	1.16	3.5	0.29	0.96	0.56
FABP5P3	0	0.06	0.09	0.05	0.16	0.25	0	0	0.11	0.09
CBWD5	4.77	1.84	2.5	5.76	3.07	1.93	3.85	5.3	3.1	1.47
FCGR1A	3.12	3.93	4.77	1.35	2.12	0.86	9.25	1.11	1.17	4.29
LOC220906	87.39	84.28	95.2	71.7	81.4	80.91	96.54	84.43	88.6	86.84
ZNF438	11.07	11.15	14.09	7.99	9.14	10.16	21.07	8.37	9.16	11.25
ZEB1-AS1	0.49	0.31	0.27	0	0.28	0.68	1.02	0	0.46	0.64
SLC16A9	44.15	31.41	35.56	52.9	33.03	25.71	24.97	36.31	22.78	39.17
FAM13C	6.3	7.58	5.11	14.02	6.27	4.85	2.09	0.89	1.97	2.75
43898	41.56	46.1	56.18	43.63	39.25	42.97	52.67	29.88	42.71	45.78
C10orf25	1.95	2.44	3.17	2.64	3.27	2.45	5.91	2.02	3.66	3.28
LOC220980	0.79	0.12	0.68	0.79	0.12	0.25	0.59	0.16	0.29	0.33
HNRNPA3	145.4	214.16	135.72	137.36	55.68	130.14	131.36	130	131.95	137.01
ZNF485	1.09	0.97	1.17	0.99	1	0.79	1.95	0.8	1.71	0.77
ALDH3B1	22.67	8.93	23.02	8.25	18.62	10.64	20	14.14	20.2	23.96
FCGR1B	1.6	7.28	3.54	3.33	3.01	2.26	6.39	1.59	1.53	3.35
RASGEF1A	3.93	2.05	3.61	1.82	1.86	3.78	1.02	1.3	1.83	2.57
CCDC7	2.74	4.97	3.16	2.63	3.75	2.94	6.52	4.66	5.47	2.92
REEP3	88.59	86.24	69.26	67.86	50.91	57.29	80.66	103.56	97.02	89.88
JMJD1C	737.74	596.26	631.18	557.12	330.83	379.24	481.44	463.16	505.64	566.63
C10orf111	4.68	5.85	3.11	3.55	0.36	5.48	1.98	3.11	1.44	4.68
FAM171A1	24.94	14.04	13.43	14.78	11.45	16.82	12	13.48	9.67	11.95
SLC39A12	0.04	0	0.09	0	0	0	0	0	0.01	0
NSUN6	12.37	12.39	9.2	13.39	8.92	8.71	10.08	8.12	10.63	8.35
ARL5B	84.47	80.84	98.54	130.9	97.68	58.7	60.88	78.62	84.87	81.44
LRRN4CL	1.86	2.02	4.05	2.4	1.8	3.26	1.23	1.42	1.84	3.33
HNRNPUL2	10.38	18.14	11.42	12.37	3.81	13.51	8.8	11.56	9.42	12.99
ALKBH3	12.24	10.04	13.24	12.49	17.58	14.55	18.21	12.61	14.65	14.22
N6AMT2	4.57	1.34	1.47	2.75	2.26	1.99	2.25	1.73	2.39	1.58
SKA3	5.55	3.78	2.93	3.48	5.53	2.72	2.94	2.23	4.57	2.68
EFHA1	33.76	43.24	30.07	34.62	29.57	26.69	43.85	40.12	41.96	28.23
SPATA13	31.2	34.74	52.38	30.3	25.48	35.93	42.99	34.99	44.48	37.06
CPNE2	27.69	17.87	27.61	36.03	48.81	32.48	17.22	18.51	20.36	24.58
GPR114	0.26	0.65	0.65	0.03	0.92	0.11	0.27	0.12	0.66	0.19
PRSS54	0.04	0.05	0.06	0	0	0	0.05	0.04	0.01	0.01
FCGR2A	24.12	22.12	54.39	15.2	31.15	9.28	123.5	10.63	33.56	45.44
CES5A	0	0	0.07	0	0	0.09	0	0	0	0.04
NCRNA00305	0	0	0.01	0.11	0	0	0	0	0	0
CCDC162P	0	0	0.06	0	0	0	0	0	0	0.06
AKD1	4.3	5.2	4.6	6.27	5.61	4.21	5	5.03	5.22	5.48
NT5DC1	23.18	31.9	20.21	23.37	11.61	33.66	29.17	28.83	22.9	18.01
FCGR2B	2.82	3.04	2.77	0.83	2.51	0.29	1.23	0.52	1.7	3.63
FAM26D	0.04	0.2	0.15	0.16	0	0	0	0	0	0.09
ZUFSP	8.87	9.43	7.69	9.86	7.22	8.78	8.69	10.32	8.54	9.15
FAM162B	0	0	0.1	0	0	0.07	0.05	0.12	0	0
C6orf170	17.12	17.56	20.57	21.62	14.45	11.7	17.51	14.88	18.33	18.25
BEND6	9.12	9.6	9.06	7.56	9.54	7.17	6.68	6.55	6.86	10.33
GSTA5	0	0	0.04	0	0.02	0	0	0	0	0
OPN5	0	0	0.05	0	0	0	0	0	0.06	0.07
GPR115	2.16	3.24	19.12	3.6	8.24	3.55	13.56	8.45	13.87	18.71
GPR116	0.47	2.1	6.82	0.68	0.52	0.21	2.78	2.43	0.6	0.53
FCGR3A	13.53	16.66	39.14	6.45	12.71	6.63	79.19	9.4	13.35	25.63
TDRD6	1.28	3.18	2.55	0.38	0.52	0.47	0.91	0.58	1.54	3.61
SPATS1	0	0	0.01	0	0	0	0	0	0.04	0
C6orf223	0.49	0.46	1.06	0.54	0.08	0.72	2.59	0.93	0.93	2.32
RSPH9	0.86	0.76	0.5	1.11	2.06	2.02	0.51	0.56	0.27	0.61
C6orf154	1.41	0.68	0.89	0.62	0.76	1.16	0.64	1.24	0.8	0.57
TREML2P1	0.09	0	0	0	0	0	0.13	0	0.14	0.05
LOC221442	1.05	0.59	1.25	1.14	0.7	0.27	0.45	0.62	0.69	0.87
C6orf130	2.88	2.79	1.54	1.34	1.88	3.08	2.27	2.99	3.67	1.68
KIF6	0	0.06	0.14	0.22	0	0.43	0	0.62	0	0.27
TMEM217	17.29	12.94	13.35	8.44	5.73	19.33	4.71	17.66	11	17.9
FGD2	3.29	1.88	7.35	1.18	1.6	0.61	7.91	0.62	3.26	5.23
PI16	0.68	0.99	0.62	0.51	0.62	0.45	0.27	0.6	0.17	0.19
C6orf89	149.36	135.3	174.37	126.61	172.6	135.82	179	149.18	227.98	165.63
C6orf81	3.82	3.26	2.2	1.34	1.4	3.08	1.18	1.17	1.2	1.63
C6orf1	8.57	5.26	9.24	7.93	13.25	9.64	7.73	7.75	7.63	10.01
LEMD2	32.22	28.96	49.45	38.02	38.93	42.83	43.15	32.6	32.38	44.85
FCGR3B	8.8	11.45	52.19	13.24	16.78	4.1	288.38	28.03	23.32	27.3
ZBTB9	6.8	5.77	4.6	5.41	3.37	4.82	5	4.72	4.03	4.12
ZBTB12	1.5	2.92	2.67	1.98	0.96	2.65	2.43	1.94	1.2	1.94
C6orf136	1.09	3.26	2.31	2.78	1.72	2.51	1.87	1.32	1.6	1.38
ZSCAN12P1	4.83	4.67	4.12	3.24	4.83	5.02	3.85	2.16	4.1	6.88
HIST1H2AA	0	0.09	0.04	0	0	0	0	0	0	0.01
KDM1B	18.16	18.13	23.15	15.62	14.31	17.16	24.76	22.15	26.62	19.43
RBM24	1.07	0.89	1.23	1.61	0.28	0.72	0.11	0.8	0.76	1.16
RNF182	1.47	1.05	1.53	3.13	1.44	0.11	2.51	0.21	0.14	0.33
PHACTR1	8.4	7.95	14.52	6.15	8.24	8.42	16.55	9.83	13.85	13.4
FCGRT	46.79	36.04	67.26	38.39	77.31	46.93	56.47	31.43	34.73	60.18
LOC221710	9.42	8.93	10.89	6.38	5.23	8.76	7.7	12.04	10.03	13.03
SYCP2L	0.49	1.34	0.56	0.61	0.78	0.16	0.99	0.58	0.54	0.38
C6orf218	0	0	0.01	0	0	0	0	0	0.03	0
C6orf145	10.47	8.5	11.07	10.13	9.2	13.38	4.33	8.78	10.26	7.82
MGC39372	1.26	0.79	0.45	0.41	0.32	0.5	0.78	1.48	0.41	0.69
ZNF498	11.33	12.57	18.1	9.85	11.49	14.92	9.3	9.27	11.37	16.45
FAM200A	5.7	4.83	3.32	4.44	5.45	3.96	4.76	3.46	4.49	4.46
FKTN	41.24	38.97	42.9	40.59	30.61	30.52	41.98	37.51	42.65	43.69
VWDE	3.35	1.54	2.92	3.02	1.92	1.7	0.96	2.91	1.16	2.12
PRPS1L1	0	0	0.02	0	0	0	0	0	0	0
TWISTNB	16.39	15.6	15.79	19.2	13.35	9.46	17.24	18.36	16.96	16.42
SP8	0	0	0.05	0	0.04	0	0	0.04	0	0
JAZF1	35.26	29.45	30.97	38.51	19.92	28.43	25.21	29.39	29.49	31.01
FCN1	25.17	23.98	60.89	5.99	24.33	8.92	45.02	5.79	21.22	42.93
C7orf47	8.33	6.56	12.1	8.62	10.68	7.27	9.97	6.82	5.82	10.8
GPC2	1.82	1.37	1.58	1.33	0.66	0.88	1.18	0.6	0.67	0.85
BRAT1	29.32	22.28	38.78	20.77	32.43	32.14	27.14	16.67	21.7	34.53
SDK1	214.5	276.64	292.9	148.01	144.16	260.37	199.43	169.21	205.03	209
FOXK1	171.56	163.68	208.01	117.22	81.56	183.41	104.81	100.65	96.1	151.73
MMD2	0.06	0.29	0.4	0.23	0.1	0.61	0.24	0.31	0.11	0.37
DAGLB	47.58	43.12	61.32	43.22	39.29	63.14	38.58	31.65	46.58	63.29
C7orf28B	7.95	7.56	8.65	6.57	9.06	8.04	9.06	6.35	8.74	3.65
THSD7A	63.25	67.14	99.16	73.15	56.16	61.44	38.31	51.27	64.83	32.47
ALDH3B2	0	0.28	0.05	0	0	0	0	0	0	0.01
FCN2	0	0	0.04	0	0	0.04	0	0	0	0
VSTM2A	0	0	0	0.24	0	0	0	0	0	0
DKFZp434L192	0	0	0	0	0	0	0	0	0	0.01
TMED4	44.15	37.97	46.48	49.09	48.09	41.95	45.61	38.21	47.71	54.25
DKFZP586I1420	17.69	13.27	20.25	16.58	8.34	13.58	13.34	10.65	12.24	10.84
C7orf41	23.87	24.64	33.46	42.69	18.18	11.34	15.59	13.72	11.7	14.84
PRR15	2.11	2.39	2.37	3.98	5.25	0.39	0.16	0.52	0.09	0.44
SRRM3	29.72	16.62	31.43	20.8	14.35	29.65	9.92	20.22	12.67	22.33
RSBN1L	12.42	17.16	15.54	16.33	11.53	8.92	19.12	14.96	14.15	14.96
FDFT1	146.77	135.3	211.56	153.61	169.21	118.19	277.36	197.82	271.83	361.79
KIAA1324L	105.94	101.52	98.68	170.83	153.44	107.41	116.84	103.23	148.9	101.54
LRWD1	14.27	10.44	17.02	13.96	18.48	15.66	12.33	12.2	11.72	17.05
FAM185A	7.39	5.55	6.38	5.41	5.83	3.99	6.84	6.24	4.74	5.8
FBXL13	3.12	3.02	2.99	4.9	1.82	2.38	3.58	1.57	2.21	2.22
NAPEPLD	10.71	12.67	10.97	9.29	10.38	6.41	13.5	11.29	10.74	9.23
ATXN7L1	15.24	20.36	14.97	16.77	9.96	15.57	15.21	8.8	11.19	10.74
CDHR3	2.8	3.04	3.58	3.67	3.11	4.23	2.27	1.61	3	3.24
BEND7	4.61	4.52	6.16	6.08	4.41	4.73	3.82	5.46	5.66	3.56
FDPS	153.46	152.1	224.18	123.11	218.76	213.94	521.04	454.53	340.02	442.77
LNX2	36.07	51.42	47.55	50.24	26.64	45.88	38.5	26.23	37.01	54.37
GPR97	2.88	3.72	17.14	3.37	4.55	1.61	27.27	3.48	6.09	9.03
HS3ST5	0.64	0.19	0.48	0.14	0.24	0.38	0.37	1.07	0.11	0.4
GPRC6A	0	0	0.02	0	0	0	0	0	0	0
RFX6	0	0	0.04	0	0	0	0	0	0	0.04
SLC35F1	4.81	4.2	6.92	3.64	1.68	7.29	3.98	3.75	2.71	5.11
FAM83B	0.23	0.48	0.56	0.33	0	0.45	0.19	0.31	0.59	0.71
GPR111	0.6	0.57	0.35	0.15	0.3	0.43	0.53	0.08	0.29	0.26
TSPO2	0.19	0.14	0.12	0	0.02	0.07	0.11	0.02	0	0
UNC5CL	0.92	0.49	0.83	0.27	0.66	0.79	0.78	0.8	0.46	0.65
KCTD20	119.19	110.77	163.12	119.95	95.69	81.47	97.19	137.41	114.19	151.78
PXT1	0.83	1.19	1.11	0.72	0.28	0.75	0.11	2.33	0.63	0.21
LHFPL5	0.08	0.06	0.15	0	0	0	0	0.02	0.01	0.07
SCUBE3	5.71	9.01	8.27	8.33	4.99	9.33	2.33	6.16	3.69	5.94
ZSCAN23	2.91	3.56	2.43	2.06	1.86	2.38	3.8	1.36	1.57	2.65
NKAPL	1.92	1.03	1.02	0.99	0.4	1.24	1.58	0.91	1.03	1.07
TOB2P1	0.26	0.76	0.91	1.27	0.48	1.16	0.91	0.84	0.89	0.67
C6orf146	1.26	0.59	0.37	0.98	0.12	0.09	0.43	0.33	0.23	0.19
TMEM130	0.34	0.51	1.34	0.34	1.18	0.91	1.12	0.39	0.36	1.1
FERD3L	0	0	0.02	0	0	0	0	0	0	0
RPL23P8	0	0	0	0.03	0.1	0	0.11	0	0.03	0
C7orf51	5.88	3.19	3.38	4.4	3.91	6.14	3.07	1.13	2.01	1.85
SLC29A4	7.82	3.66	8.12	8.08	9.52	12.29	8.58	2.78	4.1	6.69
RSPH10B	0	0.06	0	0	0.08	0	0	0	0	0.02
ALDH9A1	32.59	30.96	33.85	30.57	32.21	26.74	41.55	37.8	32.56	31.01
FDX1	422.73	336.59	226.84	175.86	235.82	157.74	251.37	573.44	201.43	224.43
CCDC129	0	0	0.1	0.05	0	0	0	0	0	0
ZNRF2	25.41	31.26	39.07	34.33	24.33	30.74	35.05	22.32	31.21	34.43
SEMA3D	0.23	0.12	0.3	1.44	0.52	0.21	0.21	0.7	0.43	0.3
FDXR	97.11	72.71	127.49	72.77	111.41	118.19	68.07	124.2	111.18	125.75
FECH	15.32	24.93	31.26	20.2	26.88	25.85	43.21	15.25	28.03	23.41
FEN1	10.47	11.08	14.16	9.47	12.83	9.94	19.2	13.48	13.85	17.39
GPC4	32.67	39.91	39.43	69.17	50.55	30.51	14.2	9.6	23.02	30.9
ALDH3A2	441.25	406.59	626.35	431.07	486.78	430.06	564.8	577.42	601.17	703.04
FER	72.24	59.72	55.51	55.99	39.67	47.63	56.33	75.96	67.55	57.6
FES	7.24	7.24	17.63	8.85	13.37	8.2	17	4.62	6.27	12.28
FGA	19.32	0	0.07	0	10.16	10.62	0	0.04	0	0.06
FGB	21.56	0.88	1.06	1.41	12.15	12.41	1.55	0.89	1.33	1.49
FGD1	8.03	6.36	8.82	7.02	7.06	9.15	7.86	4.1	6.33	5.88
FGF1	0.08	0.31	0.39	0.16	0.2	0.39	0	0.41	0.4	0.32
FGF2	10.56	7.73	6.86	8.78	9.02	14.1	5.51	14.14	9.12	14.2
FGF3	0	0	0	0	0	0	0	0.52	0	0
ABCD2	0.9	0.82	0.61	0.43	0.24	0.04	1.07	0.37	0.7	0.85
FGF5	16	25.27	21.94	13.18	7.34	15.39	12.57	13.58	14.65	16.5
FGF6	0	0.05	0	0	0	0	0	0	0	0
FGF7	9.29	8.39	9.7	4.35	4.77	3.4	16.02	14.4	14.83	6.04
FGF8	0.53	0.4	0.22	0	0	0.04	0	0.1	0	0.06
FGF9	0.08	0.15	0.41	0.87	0	0.11	0	0.14	0.03	0.29
FGF10	0.49	0.12	0.7	0.91	1.88	0.5	0.21	0.37	0.14	0.22
FGF11	1.77	1.7	1.61	1.67	2.61	6.34	8.66	2.23	4.33	6.55
MAPK15	0.15	0.96	0.97	0.53	0.2	1.61	0.53	0.37	0.39	0.62
FGF12	91.69	49.46	96.35	83.18	49.35	45.07	28.31	31.45	46.29	36.4
FGF13	1.05	0.34	0.4	0.49	0.12	0	1.18	0.33	0.43	0.11
FGF14	0.11	0.56	0.21	0	0	0.07	0	0.12	0	0.19
ALDOA	682.34	532.31	535.17	495.93	874.64	1143.45	828.56	670.17	771.49	650.45
FGFR1	14.94	16.79	13.69	25.85	20.37	23.09	5.61	14.57	8.37	9.05
FGFR3	0.3	0.51	0.4	0.58	0.04	0.86	0	0.39	0.09	0.22
GPC5	4.92	1.65	4.42	2.63	3.03	3.15	0.91	2.02	0.34	3.45
FGFR2	0.88	2.55	1.65	1.04	0.68	1.36	0.53	0.8	0.51	1.11
FGFR4	0.79	0.34	1.24	0.89	0.36	0.54	1.23	0.68	0.34	1.1
FGG	28.67	10.18	23.49	38.94	35.96	16.18	95.29	45.63	56.34	89.93
FGL1	3.18	0	0.07	0.03	2.04	1.9	0	0.16	0.09	0
FGR	6.47	8.99	31.35	6.45	13.63	4.37	36.52	6.16	12.23	20.31
FH	36.52	26.34	34.15	39.78	48.81	35.68	37.3	57.31	42.49	41.92
FHIT	4.27	3.87	5.3	4.58	4.01	4.12	6.87	3.87	3.76	3.55
FHL1	23.31	16.59	17.3	35.62	29.73	30.76	24.44	16.38	32.46	19.71
FHL2	116.92	91.52	122.05	152.62	85.77	135.66	77.72	137.95	82.4	150.6
FHL3	7.05	10.48	15.99	9.44	6.39	7.61	5.48	10.47	9.47	3.53
FIGF	0.19	0.12	0.04	0	0	0	0.27	0.08	0	0.02
CASC3	89.02	86.89	86.22	85.48	65	62.34	73.69	57.43	70.81	76.57
NID2	69.46	51.73	121.73	35.89	23.67	51.75	44.52	60.26	36.16	67.22
COG2	24.06	20.64	21.79	20.64	22.19	19.1	30.77	27.18	23.55	26.16
TFEC	3.12	2.98	4.19	0.98	2.12	0.86	5.4	1.09	2.14	3.24
LAMB4	1.3	0.62	0.47	0.46	0.16	0.93	0.53	1.92	1.37	2.22
FKBP1A	196.6	168.49	249.31	191.87	169.98	198.05	230.25	215.91	232.14	276.05
RRAS2	47.61	56.3	94.9	68.53	73.12	94.49	99.89	93.99	112.9	112.51
ITGA11	0.94	1.14	2.22	0.19	0.36	1.16	0.99	2.21	0.8	0.89
CLCA4	0	0.19	0.04	0	0	0	0	0	0	0
XRN2	210.45	208.2	205.09	219.91	156.85	165.66	186.06	241.59	208.62	217.08
IKZF3	17.91	21.55	28.99	14.61	8.8	21.59	20.64	13.29	20.09	20.27
IKZF2	11.86	16.35	15.99	11.54	18.06	6.18	13.31	9.17	13.52	9.66
MRAS	36.26	23.48	30.31	29.67	24.69	16.14	17.24	23.14	15.9	28.08
