ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0002526	acute inflammatory response	15/267	114/18614	8.87005598668928e-11	5.34174482753954e-09	3.7317963198803e-09	SERPINA1/IL6/ORM1/ALOX5AP/EDNRB/PTGS2/HAMP/IL1B/OSM/PIK3CG/FFAR2/NLRP3/NLRP6/S100A8/GATA3	15
BP	GO:0002702	positive regulation of production of molecular mediator of immune response	16/267	134/18614	9.19238772203986e-11	5.44936234647175e-09	3.8069789940948e-09	IL6/IL18/SLC7A5/NR4A3/WNT5A/PLCG2/IL1B/KIT/FFAR2/CLEC7A/NLRP3/PTPRC/SCIMP/SASH3/GATA3/IL10	16
BP	GO:0045730	respiratory burst	10/267	39/18614	1.37382737530061e-10	8.01892471060079e-09	5.60210094090192e-09	NCF1/JCHAIN/HCK/CYBB/PIK3CG/CLEC7A/NCF4/RAC2/NCF1C/IGHA1	10
BP	GO:1902107	positive regulation of leukocyte differentiation	18/267	184/18614	1.71818727547349e-10	9.72955600469615e-09	6.79716505835388e-09	TRIB1/ID2/CD27/IL18/NEDD9/LEF1/FOS/NFKBIZ/PF4/SOCS1/CCR1/NLRP3/PTPRC/EVI2B/IL2RG/SASH3/GATA3/IL10	18
BP	GO:1903708	positive regulation of hemopoiesis	18/267	184/18614	1.71818727547349e-10	9.72955600469615e-09	6.79716505835388e-09	TRIB1/ID2/CD27/IL18/NEDD9/LEF1/FOS/NFKBIZ/PF4/SOCS1/CCR1/NLRP3/PTPRC/EVI2B/IL2RG/SASH3/GATA3/IL10	18
BP	GO:0050728	negative regulation of inflammatory response	18/267	187/18614	2.24398674257044e-10	1.25201260313415e-08	8.74668516686124e-09	SIGLEC10/TNFAIP3/SOCS3/NLRP12/ZFP36/HAMP/IER3/HCK/TNFAIP6/TNFAIP8L2/NLRP3/PTPRC/NLRP6/CALCRL/FGR/GATA3/IL10/FPR2	18
BP	GO:0002700	regulation of production of molecular mediator of immune response	18/267	189/18614	2.67353196411869e-10	1.47005511186468e-08	1.02699519231897e-08	IL6/IL18/SLC7A5/NR4A3/WNT5A/PLCG2/IL1B/KIT/CD96/FFAR2/CCR2/CLEC7A/NLRP3/PTPRC/SCIMP/SASH3/GATA3/IL10	18
BP	GO:0002687	positive regulation of leukocyte migration	16/267	147/18614	3.73077728935446e-10	2.02208129083012e-08	1.41264619768339e-08	IL6/SERPINE1/CCL20/NEDD9/WNT5A/RARRES2/DOCK8/RIPOR2/CCR1/CCR2/C5AR1/PTAFR/CCL24/RAC2/C3AR1/FPR2	16
BP	GO:0045089	positive regulation of innate immune response	22/267	300/18614	4.28905163048427e-10	2.29192420930385e-08	1.60116115723638e-08	TNFAIP3/NFKBIA/TLR2/CD14/NFKBIZ/WNT5A/CD1D/PLCG2/HCK/CLEC4E/LY96/FFAR2/CLEC7A/NLRP3/SH2D1B/PIK3AP1/RNF125/SCIMP/NLRP6/CASP1/HAVCR2/FPR2	22
BP	GO:0030099	myeloid cell differentiation	26/267	421/18614	4.45832912131301e-10	2.34929176198077e-08	1.64123870284593e-08	TRIB1/TNFRSF11B/NFKBIA/JUNB/ID2/MMP9/TLR2/NEDD9/UCP2/LEF1/FOS/ZFP36/TUBB1/TRIM58/KIT/PF4/TNFAIP6/SOCS1/FLI1/CLEC1B/CCR1/CLEC5A/IKZF1/EVI2B/IL11/GATA3	26
BP	GO:0002444	myeloid leukocyte mediated immunity	14/267	110/18614	5.97938962187956e-10	3.10764441443987e-08	2.17103144454113e-08	IL6/TREM1/CXCL6/NR4A3/ADGRE2/KIT/PIK3CG/CCR2/NLRP6/PTAFR/ITGB2/VAMP8/RAC2/FGR	14
BP	GO:0002685	regulation of leukocyte migration	19/267	227/18614	7.67647726538945e-10	3.93575064120102e-08	2.74955473033437e-08	IL6/SERPINE1/CCL20/NEDD9/WNT5A/RARRES2/CCL2/DOCK8/TNFAIP6/RIPOR2/CCR1/CCR2/C5AR1/APOD/PTAFR/CCL24/RAC2/C3AR1/FPR2	19
BP	GO:0051090	regulation of DNA-binding transcription factor activity	27/267	465/18614	7.88135362412234e-10	3.98691408665602e-08	2.7852980246372e-08	TRIB1/IL6/TNFAIP3/NFKBIA/ID2/TLR2/BHLHE40/CARD16/IL18/ADGRG3/TRIM22/NLRP12/WNT5A/NTS/TRIM58/PLCG2/IL1B/HCK/KIT/HES1/CLEC7A/NLRP3/HAVCR2/S100A8/LRRK2/LPAR5/IL10	27
BP	GO:0150076	neuroinflammatory response	12/267	76/18614	8.14175031131257e-10	4.06444745804209e-08	2.83946361272646e-08	IL6/MMP9/CTSC/TLR2/IL18/PTGS2/PLCG2/IL1B/PTPRC/C5AR1/ITGB2/LRRK2	12
BP	GO:0031348	negative regulation of defense response	21/267	284/18614	9.34534388381476e-10	4.60470580457054e-08	3.21689349274717e-08	SIGLEC10/TNFAIP3/SOCS3/NLRP12/ZFP36/HAMP/IER3/HCK/TNFAIP6/CD96/TNFAIP8L2/NLRP3/RNF125/PTPRC/NLRP6/HAVCR2/CALCRL/FGR/GATA3/IL10/FPR2	21
BP	GO:1902105	regulation of leukocyte differentiation	22/267	319/18614	1.36337564895613e-09	6.59987060919246e-08	4.61073556417241e-08	TRIB1/TNFRSF11B/JUNB/ID2/CD27/IL18/NEDD9/LEF1/FOS/NFKBIZ/PF4/TNFAIP6/SOCS1/CCR1/CCR2/NLRP3/PTPRC/EVI2B/IL2RG/SASH3/GATA3/IL10	22
BP	GO:0002758	innate immune response-activating signaling pathway	18/267	209/18614	1.37424822911493e-09	6.59987060919246e-08	4.61073556417241e-08	TNFAIP3/NFKBIA/TLR2/CD14/NFKBIZ/PLCG2/HCK/CLEC4E/LY96/FFAR2/CLEC7A/NLRP3/PIK3AP1/RNF125/SCIMP/NLRP6/CASP1/HAVCR2	18
BP	GO:0032609	type II interferon production	14/267	118/18614	1.53335295894334e-09	7.18214953855684e-08	5.01752144329998e-08	CD14/IL18/SLC7A5/WNT5A/IL1B/CD96/CCR2/CLEC7A/HLA-DPB1/NLRP6/HAVCR2/SASH3/GATA3/IL10	14
BP	GO:0032649	regulation of type II interferon production	14/267	118/18614	1.53335295894334e-09	7.18214953855684e-08	5.01752144329998e-08	CD14/IL18/SLC7A5/WNT5A/IL1B/CD96/CCR2/CLEC7A/HLA-DPB1/NLRP6/HAVCR2/SASH3/GATA3/IL10	14
BP	GO:0002833	positive regulation of response to biotic stimulus	22/267	327/18614	2.16246825039899e-09	1.00053713926997e-07	6.989852444807e-08	TNFAIP3/NFKBIA/TLR2/CD14/NFKBIZ/WNT5A/CD1D/PLCG2/HCK/CLEC4E/LY96/FFAR2/CLEC7A/NLRP3/SH2D1B/PIK3AP1/RNF125/SCIMP/NLRP6/CASP1/HAVCR2/FPR2	22
BP	GO:0071675	regulation of mononuclear cell migration	14/267	122/18614	2.38806633977707e-09	1.09160526423063e-07	7.62606346678335e-08	SERPINE1/CCL20/NEDD9/WNT5A/RARRES2/CCL2/DOCK8/RIPOR2/CCR1/CCR2/C5AR1/APOD/C3AR1/FPR2	14
BP	GO:0030217	T cell differentiation	21/267	300/18614	2.50973379958322e-09	1.13356309947842e-07	7.91918509693052e-08	IL6/JUNB/CD27/IL18/LEF1/NFKBIZ/CD1D/IL1B/KIT/CLEC4E/LCK/SOCS1/CCR2/CD3D/NLRP3/PTPRC/CLEC4D/IL2RG/TNFSF8/SASH3/GATA3	21
BP	GO:0045444	fat cell differentiation	19/267	246/18614	2.94828005350513e-09	1.31597347329394e-07	9.193522197803e-08	IL6/EGR2/ID2/NR4A2/ZFP36/NR4A3/WNT5A/RARRES2/PTGS2/BBS12/NR4A1/HES1/ADIRF/SOCS1/FFAR2/GDF3/SULT1E1/IL11/GATA3	19
BP	GO:0002705	positive regulation of leukocyte mediated immunity	15/267	148/18614	3.62287260546075e-09	1.59480205446233e-07	1.11414465309107e-07	IL6/IL18/CD1D/PLCG2/IL1B/KIT/CLEC7A/NLRP3/SH2D1B/PTPRC/SCIMP/PTAFR/ITGB2/SASH3/GATA3	15
BP	GO:0002688	regulation of leukocyte chemotaxis	14/267	126/18614	3.65703159563053e-09	1.59480205446233e-07	1.11414465309107e-07	IL6/SERPINE1/NEDD9/WNT5A/RARRES2/CCL2/TNFAIP6/RIPOR2/CCR1/CCR2/C5AR1/RAC2/C3AR1/FPR2	14
BP	GO:0150077	regulation of neuroinflammatory response	9/267	41/18614	5.27076740164232e-09	2.27241949111715e-07	1.58753496618844e-07	IL6/MMP9/CTSC/IL18/PTGS2/PLCG2/IL1B/PTPRC/LRRK2	9
BP	GO:0070661	leukocyte proliferation	22/267	348/18614	6.79940171116368e-09	2.89853147102865e-07	2.02494305247902e-07	IL6/TNFAIP3/JUNB/RASSF5/IL18/LEF1/NFKBIZ/CD1D/IL1B/DOCK8/KIT/HES1/PIK3CG/CCR2/HLA-DPB1/TMIGD2/PTPRC/HAVCR2/TNFSF8/RAC2/SASH3/IL10	22
BP	GO:0002218	activation of innate immune response	18/267	233/18614	7.7463057675518e-09	3.26295133896705e-07	2.27953041409401e-07	TNFAIP3/NFKBIA/TLR2/CD14/NFKBIZ/PLCG2/HCK/CLEC4E/LY96/FFAR2/CLEC7A/NLRP3/PIK3AP1/RNF125/SCIMP/NLRP6/CASP1/HAVCR2	18
BP	GO:1903706	regulation of hemopoiesis	24/267	415/18614	7.82626704918296e-09	3.26295133896705e-07	2.27953041409401e-07	TRIB1/TNFRSF11B/NFKBIA/JUNB/ID2/CD27/IL18/NEDD9/LEF1/FOS/ZFP36/NFKBIZ/PF4/TNFAIP6/SOCS1/CCR1/CCR2/NLRP3/PTPRC/EVI2B/IL2RG/SASH3/GATA3/IL10	24
BP	GO:0002440	production of molecular mediator of immune response	21/267	328/18614	1.21652483950992e-08	5.01684265337025e-07	3.50481641405718e-07	IL6/TREM1/IL18/SLC7A5/NR4A3/NFKBIZ/WNT5A/PLCG2/IL1B/KIT/CD96/FFAR2/CCR2/CLEC7A/NLRP3/HLA-DPB1/PTPRC/SCIMP/SASH3/GATA3/IL10	21
BP	GO:0002690	positive regulation of leukocyte chemotaxis	12/267	96/18614	1.27158332171444e-08	5.18751303503719e-07	3.62404844830443e-07	IL6/SERPINE1/NEDD9/WNT5A/RARRES2/RIPOR2/CCR1/CCR2/C5AR1/RAC2/C3AR1/FPR2	12
BP	GO:0002449	lymphocyte mediated immunity	20/267	300/18614	1.39256483152445e-08	5.62062869234442e-07	3.92662737489201e-07	IL6/CTSC/CD27/IL18/GZMB/NFKBIZ/WAS/CD1D/IL1B/CD96/CCR2/NLRP3/SH2D1B/HLA-DPB1/PTPRC/KLRB1/HAVCR2/SASH3/GATA3/IL10	20
BP	GO:0002221	pattern recognition receptor signaling pathway	16/267	189/18614	1.47568402293547e-08	5.89341598212333e-07	4.11719930166372e-07	TNFAIP3/NFKBIA/TLR2/CD14/NFKBIZ/PLCG2/CLEC4E/LY96/FFAR2/NLRP3/PIK3AP1/RNF125/SCIMP/NLRP6/CASP1/HAVCR2	16
BP	GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	16/267	190/18614	1.59091166584197e-08	6.2874154793796e-07	4.39245128792771e-07	IL6/TNFAIP3/JUNB/IL18/NFKBIZ/WAS/CD1D/IL1B/CCR2/CLEC7A/NLRP3/PTPRC/HAVCR2/SASH3/GATA3/IL10	16
BP	GO:0002275	myeloid cell activation involved in immune response	12/267	98/18614	1.61211034656703e-08	6.30551201533538e-07	4.4050937087963e-07	NR4A3/ADGRE2/PLCG2/KIT/PIK3CG/CCR2/PTAFR/ITGB2/HAVCR2/VAMP8/RAC2/FGR	12
BP	GO:0032602	chemokine production	12/267	99/18614	1.81132252555385e-08	6.94157339591039e-07	4.84945254582093e-07	IL6/TLR2/TREM1/IL18/CXCL6/WNT5A/IL1B/FFAR2/CLEC7A/APOD/HAVCR2/IL10	12
BP	GO:0048661	positive regulation of smooth muscle cell proliferation	12/267	99/18614	1.81132252555385e-08	6.94157339591039e-07	4.84945254582093e-07	IL6/ID2/MMP9/HBEGF/IL18/NR4A3/PTGS2/MMP2/PTAFR/CALCRL/IL10/CDH13	12
BP	GO:0050921	positive regulation of chemotaxis	14/267	143/18614	1.89872917408085e-08	7.20377848646276e-07	5.03263164245852e-07	IL6/SERPINE1/CXCR4/NEDD9/WNT5A/RARRES2/RIPOR2/CCR1/CCR2/C5AR1/RAC2/C3AR1/CDH13/FPR2	14
BP	GO:0032623	interleukin-2 production	10/267	63/18614	2.04080378555123e-08	7.59098976704055e-07	5.30314131271207e-07	TNFAIP3/ZFP36/PLCG2/IL1B/CCR2/CLEC7A/PTPRC/HAVCR2/SASH3/GATA3	10
BP	GO:0032663	regulation of interleukin-2 production	10/267	63/18614	2.04080378555123e-08	7.59098976704055e-07	5.30314131271207e-07	TNFAIP3/ZFP36/PLCG2/IL1B/CCR2/CLEC7A/PTPRC/HAVCR2/SASH3/GATA3	10
BP	GO:0043299	leukocyte degranulation	11/267	81/18614	2.14943568859405e-08	7.91743592478235e-07	5.53119986088892e-07	NR4A3/ADGRE2/HCK/KIT/PIK3CG/CCR2/PTAFR/ITGB2/VAMP8/RAC2/FGR	11
BP	GO:0042060	wound healing	24/267	439/18614	2.3062943091047e-08	8.35180786608947e-07	5.83465644003365e-07	SERPINA1/IL6/TNFAIP3/SERPINE1/CXCR4/TGFA/HBEGF/THBD/WAS/WNT5A/TUBB1/PLCG2/PF4/LCK/PIK3CG/NOG/CLEC7A/GRHL3/VIL1/NLRP6/SERPINB2/PLAU/PLEK/S100A8	24
BP	GO:0002673	regulation of acute inflammatory response	9/267	48/18614	2.31138594079967e-08	8.35180786608947e-07	5.83465644003365e-07	IL6/ALOX5AP/EDNRB/PTGS2/IL1B/OSM/PIK3CG/FFAR2/NLRP3	9
BP	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	20/267	311/18614	2.54479405774106e-08	9.10844212742415e-07	6.36324869651639e-07	IL6/TNFAIP3/JUNB/CTSC/CD27/IL18/LEF1/NFKBIZ/WAS/CD1D/IL1B/CCR2/CLEC7A/NLRP3/HLA-DPB1/PTPRC/HAVCR2/SASH3/GATA3/IL10	20
BP	GO:0002573	myeloid leukocyte differentiation	17/267	227/18614	3.22948473917874e-08	1.14510888789198e-06	7.99984512862968e-07	TRIB1/TNFRSF11B/JUNB/ID2/MMP9/TLR2/NEDD9/UCP2/LEF1/FOS/KIT/PF4/TNFAIP6/SOCS1/CCR1/EVI2B/GATA3	17
BP	GO:0046631	alpha-beta T cell activation	15/267	175/18614	3.56077031626921e-08	1.25088542406716e-06	8.73881058125328e-07	IL6/JUNB/IL18/LEF1/NFKBIZ/SOCS1/CCR2/CD3D/NLRP3/PTPRC/IL2RG/TNFSF8/WDFY4/SASH3/GATA3	15
BP	GO:0048660	regulation of smooth muscle cell proliferation	15/267	176/18614	3.84312823973733e-08	1.33769069188655e-06	9.34524085722703e-07	TRIB1/IL6/TNFAIP3/ID2/MMP9/HBEGF/IL18/NR4A3/PTGS2/MMP2/APOD/PTAFR/CALCRL/IL10/CDH13	15
BP	GO:0002819	regulation of adaptive immune response	16/267	205/18614	4.65123489015623e-08	1.60425319756843e-06	1.12074731611611e-06	IL6/TNFAIP3/JUNB/IL18/NFKBIZ/WAS/CD1D/IL1B/CCR2/CLEC7A/NLRP3/PTPRC/HAVCR2/SASH3/GATA3/IL10	16
BP	GO:0048659	smooth muscle cell proliferation	15/267	180/18614	5.18788782251143e-08	1.77322940528003e-06	1.23879578350723e-06	TRIB1/IL6/TNFAIP3/ID2/MMP9/HBEGF/IL18/NR4A3/PTGS2/MMP2/APOD/PTAFR/CALCRL/IL10/CDH13	15
BP	GO:0042116	macrophage activation	12/267	109/18614	5.40826910984946e-08	1.8320511609615e-06	1.27988924986851e-06	IL6/CTSC/TLR2/WNT5A/HAMP/PLCG2/PTPRC/C5AR1/ITGB2/HAVCR2/LRRK2/IL10	12
BP	GO:0006909	phagocytosis	17/267	236/18614	5.70990645632689e-08	1.91711372524816e-06	1.339314807362e-06	ICAM3/TLR2/CLN3/CD14/TGM2/CCL2/PLCG2/IL1B/HCK/CLEC7A/PTPRC/ITGB2/NCF4/IL2RG/MARCO/FGR/FPR2	17
BP	GO:0038093	Fc receptor signaling pathway	9/267	54/18614	6.79899021818043e-08	2.26275165682251e-06	1.58078092053355e-06	NR4A3/PLCG2/HCK/KIT/CLEC4E/LCK/PTPRC/CLEC4D/FGR	9
BP	GO:0002706	regulation of lymphocyte mediated immunity	15/267	184/18614	6.94716382813865e-08	2.29195996208331e-06	1.60118613448541e-06	IL6/IL18/WAS/CD1D/IL1B/CD96/CCR2/NLRP3/SH2D1B/PTPRC/KLRB1/HAVCR2/SASH3/GATA3/IL10	15
BP	GO:0042098	T cell proliferation	16/267	213/18614	7.92907133781107e-08	2.59335315997028e-06	1.81174243453796e-06	IL6/IL18/CD1D/IL1B/DOCK8/HES1/PIK3CG/CCR2/HLA-DPB1/TMIGD2/PTPRC/HAVCR2/TNFSF8/RAC2/SASH3/IL10	16
BP	GO:0046651	lymphocyte proliferation	19/267	306/18614	9.98041809601475e-08	3.2363851501094e-06	2.26097100906569e-06	IL6/RASSF5/IL18/LEF1/NFKBIZ/CD1D/IL1B/DOCK8/HES1/PIK3CG/CCR2/HLA-DPB1/TMIGD2/PTPRC/HAVCR2/TNFSF8/RAC2/SASH3/IL10	19
BP	GO:0002675	positive regulation of acute inflammatory response	7/267	28/18614	1.05704629980204e-07	3.39867259444827e-06	2.37434663951967e-06	IL6/ALOX5AP/PTGS2/IL1B/OSM/PIK3CG/FFAR2	7
BP	GO:0033002	muscle cell proliferation	17/267	249/18614	1.2416552100704e-07	3.95868896387152e-06	2.76557967178883e-06	TRIB1/IL6/TNFAIP3/ID2/MMP9/HBEGF/IL18/FOS/NR4A3/PTGS2/NOG/MMP2/APOD/PTAFR/CALCRL/IL10/CDH13	17
BP	GO:0050830	defense response to Gram-positive bacterium	12/267	118/18614	1.31354988691922e-07	4.11394137987741e-06	2.874040561144e-06	IL6/TLR2/IL18/LYZ/RARRES2/IL1B/C5AR1/NLRP6/HAVCR2/TNFSF8/FGR/MPEG1	12
BP	GO:0006959	humoral immune response	17/267	250/18614	1.31531901644676e-07	4.11394137987741e-06	2.874040561144e-06	CXCL2/CXCL1/IL6/CXCL3/PI3/TREM1/CXCL6/LYZ/RARRES2/CCL2/JCHAIN/IL1B/PF4/CXCL5/PTPRC/IGHA1/GATA3	17
BP	GO:0150078	positive regulation of neuroinflammatory response	6/267	18/18614	1.3228804647998e-07	4.11394137987741e-06	2.874040561144e-06	IL6/CTSC/IL18/PLCG2/IL1B/LRRK2	6
BP	GO:0032943	mononuclear cell proliferation	19/267	313/18614	1.42081583465858e-07	4.38258152576802e-06	3.06171525175038e-06	IL6/RASSF5/IL18/LEF1/NFKBIZ/CD1D/IL1B/DOCK8/HES1/PIK3CG/CCR2/HLA-DPB1/TMIGD2/PTPRC/HAVCR2/TNFSF8/RAC2/SASH3/IL10	19
BP	GO:0002286	T cell activation involved in immune response	12/267	119/18614	1.44244540471276e-07	4.4134176334518e-06	3.08325766474256e-06	IL6/JUNB/IL18/LEF1/NFKBIZ/APBB1IP/CLEC4E/LCP1/NLRP3/CLEC4D/HAVCR2/GATA3	12
BP	GO:0032729	positive regulation of type II interferon production	10/267	77/18614	1.46861030147422e-07	4.45752598703454e-06	3.11407220135754e-06	CD14/IL18/SLC7A5/WNT5A/IL1B/CCR2/CLEC7A/HLA-DPB1/HAVCR2/SASH3	10
BP	GO:0032642	regulation of chemokine production	11/267	98/18614	1.60207537298479e-07	4.82402695643199e-06	3.37011344124955e-06	IL6/TLR2/IL18/CXCL6/WNT5A/IL1B/FFAR2/CLEC7A/APOD/HAVCR2/IL10	11
BP	GO:0050764	regulation of phagocytosis	11/267	101/18614	2.18803530401662e-07	6.53654011294413e-06	4.5664922465925e-06	TLR2/TGM2/CCL2/PLCG2/IL1B/HCK/CLEC7A/PTPRC/IL2RG/FGR/FPR2	11
BP	GO:0050920	regulation of chemotaxis	16/267	230/18614	2.27729269466294e-07	6.75003787777436e-06	4.71564391871815e-06	IL6/SERPINE1/CXCR4/NEDD9/WNT5A/RARRES2/CCL2/TNFAIP6/RIPOR2/CCR1/CCR2/C5AR1/RAC2/C3AR1/CDH13/FPR2	16
BP	GO:0002456	T cell mediated immunity	12/267	125/18614	2.48166440331522e-07	7.29878662494414e-06	5.09900527747672e-06	IL6/CTSC/IL18/NFKBIZ/WAS/CD1D/IL1B/CCR2/NLRP3/PTPRC/SASH3/GATA3	12
BP	GO:0042102	positive regulation of T cell proliferation	11/267	105/18614	3.26075913674075e-07	9.51640012676492e-06	6.64825223183255e-06	IL6/IL18/CD1D/IL1B/HES1/CCR2/HLA-DPB1/TMIGD2/PTPRC/HAVCR2/SASH3	11
BP	GO:0002285	lymphocyte activation involved in immune response	15/267	208/18614	3.44768406922686e-07	9.98512470125703e-06	6.97570790382743e-06	IL6/JUNB/IL18/LEF1/NFKBIZ/APBB1IP/PLCG2/CLEC4E/LCP1/NLRP3/PTPRC/CLEC4D/HAVCR2/GATA3/IL10	15
BP	GO:0070663	regulation of leukocyte proliferation	17/267	268/18614	3.53958448345194e-07	1.01736238865278e-05	7.10739531844656e-06	IL6/TNFAIP3/RASSF5/IL18/CD1D/IL1B/KIT/HES1/CCR2/HLA-DPB1/TMIGD2/PTPRC/HAVCR2/TNFSF8/RAC2/SASH3/IL10	17
BP	GO:0036336	dendritic cell migration	7/267	33/18614	3.58711767535126e-07	1.02327251581073e-05	7.14868405740757e-06	CXCR4/NLRP12/DOCK8/PIK3CG/CCR1/CCR2/CXCR1	7
BP	GO:0032612	interleukin-1 production	12/267	131/18614	4.14197696502558e-07	1.16404893372645e-05	8.13216218162528e-06	IL6/TNFAIP3/CARD16/ORM1/IL1R2/NLRP12/WNT5A/CLEC7A/NLRP3/CASP1/HAVCR2/IL10	12
BP	GO:0032652	regulation of interleukin-1 production	12/267	131/18614	4.14197696502558e-07	1.16404893372645e-05	8.13216218162528e-06	IL6/TNFAIP3/CARD16/ORM1/IL1R2/NLRP12/WNT5A/CLEC7A/NLRP3/CASP1/HAVCR2/IL10	12
BP	GO:0042129	regulation of T cell proliferation	14/267	183/18614	4.17476245177394e-07	1.164635936914e-05	8.13626304455634e-06	IL6/IL18/CD1D/IL1B/HES1/CCR2/HLA-DPB1/TMIGD2/PTPRC/HAVCR2/TNFSF8/RAC2/SASH3/IL10	14
BP	GO:0097696	receptor signaling pathway via STAT	14/267	184/18614	4.46135448098241e-07	1.2355021095509e-05	8.63134120869283e-06	IL6/SOCS3/IL18/HAMP/CCL2/KIT/HES1/OSM/SOCS1/CCR2/PTPRC/IL10RA/IL10/CRLF2	14
BP	GO:0043367	CD4-positive, alpha-beta T cell differentiation	10/267	89/18614	5.85387304137032e-07	1.60939089267819e-05	1.12433656126396e-05	IL6/JUNB/IL18/LEF1/NFKBIZ/SOCS1/NLRP3/IL2RG/SASH3/GATA3	10
BP	GO:0050767	regulation of neurogenesis	20/267	381/18614	6.77057984839404e-07	1.84802733415877e-05	1.29105036412391e-05	BTG2/IL6/EGR2/ID2/CHODL/TLR2/BHLHE40/CXCR4/HEY1/SLC7A5/LEF1/CDH1/WNT5A/TGM2/IL1B/KIT/HES1/SORL1/NOG/BHLHE41	20
BP	GO:0043410	positive regulation of MAPK cascade	23/267	495/18614	8.1975894462221e-07	2.22154673992619e-05	1.55199475380355e-05	IL6/CD27/CCL20/TGFA/ACKR3/NCF1/WNT5A/CCL2/PLCG2/IL1B/KIT/OSM/PIK3CG/CCR1/PTPRC/C5AR1/SCIMP/CCL24/HAVCR2/MARCO/IL11/LRRK2/FPR2	23
BP	GO:0070665	positive regulation of leukocyte proliferation	13/267	166/18614	8.33444518406054e-07	2.24261595945572e-05	1.56671392112463e-05	IL6/IL18/CD1D/IL1B/KIT/HES1/CCR2/HLA-DPB1/TMIGD2/PTPRC/HAVCR2/RAC2/SASH3	13
BP	GO:0050730	regulation of peptidyl-tyrosine phosphorylation	16/267	255/18614	9.09722547042876e-07	2.43062488977512e-05	1.69805883873533e-05	IL6/SOCS3/TGFA/HBEGF/CASS4/IL18/NEDD9/NCF1/PLCG2/KIT/HES1/OSM/SOCS1/PTPRC/ITGB2/IL11	16
BP	GO:0002369	T cell cytokine production	7/267	38/18614	9.96738248319493e-07	2.62612841258622e-05	1.83463955355883e-05	IL6/IL18/IL1B/CCR2/NLRP3/SASH3/GATA3	7
BP	GO:0002724	regulation of T cell cytokine production	7/267	38/18614	9.96738248319493e-07	2.62612841258622e-05	1.83463955355883e-05	IL6/IL18/IL1B/CCR2/NLRP3/SASH3/GATA3	7
BP	GO:0043370	regulation of CD4-positive, alpha-beta T cell differentiation	8/267	55/18614	1.09665012496923e-06	2.84978806447483e-05	1.99089042153751e-05	JUNB/IL18/NFKBIZ/SOCS1/NLRP3/IL2RG/SASH3/GATA3	8
BP	GO:0061900	glial cell activation	8/267	55/18614	1.09665012496923e-06	2.84978806447483e-05	1.99089042153751e-05	IL6/CTSC/TLR2/IL1B/PTPRC/C5AR1/ITGB2/LRRK2	8
BP	GO:0046632	alpha-beta T cell differentiation	11/267	119/18614	1.15616386592684e-06	2.98400388253499e-05	2.08465493333605e-05	IL6/JUNB/IL18/LEF1/NFKBIZ/SOCS1/NLRP3/IL2RG/TNFSF8/SASH3/GATA3	11
BP	GO:0002709	regulation of T cell mediated immunity	10/267	97/18614	1.30930628659007e-06	3.35642435900183e-05	2.34483160002403e-05	IL6/IL18/WAS/CD1D/IL1B/CCR2/NLRP3/PTPRC/SASH3/GATA3	10
BP	GO:0045598	regulation of fat cell differentiation	12/267	146/18614	1.32866771330251e-06	3.36608223575905e-05	2.35157868924376e-05	IL6/ID2/ZFP36/WNT5A/RARRES2/PTGS2/BBS12/HES1/ADIRF/GDF3/SULT1E1/GATA3	12
BP	GO:0007259	receptor signaling pathway via JAK-STAT	13/267	173/18614	1.33081796353152e-06	3.36608223575905e-05	2.35157868924376e-05	IL6/SOCS3/IL18/HAMP/CCL2/KIT/HES1/OSM/SOCS1/CCR2/PTPRC/IL10RA/IL10	13
BP	GO:0072676	lymphocyte migration	11/267	122/18614	1.48167865871432e-06	3.7186018008394e-05	2.59785238035502e-05	CCL20/NEDD9/WNT5A/CCL2/DOCK8/PIK3CG/RIPOR2/CCR2/APOD/CCL24/GATA3	11
BP	GO:0002726	positive regulation of T cell cytokine production	6/267	26/18614	1.48979302511225e-06	3.7186018008394e-05	2.59785238035502e-05	IL6/IL18/IL1B/NLRP3/SASH3/GATA3	6
BP	GO:0002824	positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	11/267	123/18614	1.60678796346787e-06	3.98441407411576e-05	2.7835514908924e-05	IL6/IL18/NFKBIZ/CD1D/IL1B/CCR2/CLEC7A/NLRP3/PTPRC/SASH3/GATA3	11
BP	GO:0030225	macrophage differentiation	8/267	58/18614	1.66349427973967e-06	4.09824499826773e-05	2.86307491208782e-05	TRIB1/ID2/MMP9/TLR2/UCP2/PF4/SOCS1/GATA3	8
BP	GO:0002220	innate immune response activating cell surface receptor signaling pathway	9/267	78/18614	1.72736410401292e-06	4.22814155524194e-05	2.95382194492668e-05	TNFAIP3/NFKBIA/CD14/PLCG2/LY96/FFAR2/CLEC7A/PIK3AP1/SCIMP	9
BP	GO:0018108	peptidyl-tyrosine phosphorylation	19/267	370/18614	1.79548992138439e-06	4.36672356521307e-05	3.05063672202827e-05	IL6/SOCS3/TGFA/HBEGF/CASS4/IL18/NEDD9/NCF1/PLCG2/HCK/KIT/HES1/LCK/OSM/SOCS1/PTPRC/ITGB2/FGR/IL11	19
