geneNames	GSE138518_GSM4110156	GSE138518_GSM4110157	GSE138518_GSM4110158	GSE138518_GSM4110159	GSE138518_GSM4110160	GSE138518_GSM4110161	GSE155489_GSM4705199	GSE155489_GSM4705200	GSE155489_GSM4705201	GSE155489_GSM4705202	GSE155489_GSM4705203	GSE155489_GSM4705204	GSE155489_GSM4705205	GSE155489_GSM4705206	GSE193123_GSM5773736	GSE193123_GSM5773737	GSE193123_GSM5773738	GSE193123_GSM5773739	GSE193123_GSM5773740	GSE193123_GSM5773741
XYLT1	216	2302	948	545	730	372	160	129	61	70	25	29	119	80	89	112	85	32	76	21
PYCARD	212	142	364	424	464	185	53	32	32	41	108	84	37	31	106	220	78	167	63	462
RPGRIP1L	26	274	183	239	245	183	165	137	111	119	134	115	93	88	127	195	174	109	184	68
MAZ	1676	2675	3568	3339	1905	1319	148	49	109	169	155	128	139	159	330	450	412	561	495	821
STX4	2757	6101	3237	3053	2860	1092	234	175	187	200	227	178	289	233	1957	1900	1548	2317	1523	2750
CDIPT	1207	945	1619	1367	982	597	179	152	107	134	180	129	93	79	1259	1327	1140	1660	1350	1424
BCKDK	1964	3604	3541	3559	2370	1129	708	690	433	492	675	578	792	823	1473	1994	1711	2177	1864	1807
KAT8	1125	1882	2091	1631	1355	766	209	191	86	113	108	132	57	89	787	626	626	819	712	1158
NOMO1	1613	8898	5465	7632	4216	2707	211	188	190	191	405	285	142	121	186	332	322	173	95	34
IL21R	16	366	89	55	51	12	34	15	11	4	7	11	0	6	180	265	246	112	69	401
SYT17	0	0	2	0	0	0	16	4	7	6	3	4	1	1	9	22	8	13	6	38
TMC5	53	5	14	8	22	37	20	18	5	11	5	4	4	13	9	6	3	8	2	6
CCP110	100	109	161	147	98	132	128	123	106	100	73	83	43	42	222	231	222	159	225	276
VPS35L	494	1561	1823	2213	1642	897	306	212	194	253	318	283	239	174	851	1257	1254	834	1176	964
RNF40	1323	4800	4327	3994	3446	2730	141	99	103	134	146	114	75	70	1256	1638	1874	1221	1854	1464
KNOP1	1686	739	1143	1145	953	445	167	110	80	108	155	136	76	92	209	281	256	253	294	247
AQP9	12	7	25	211	594	142	18	11	10	26	10	10	8	17	3000	914	1201	2742	935	6788
AAGAB	575	1110	1432	929	964	601	612	610	352	451	640	607	341	358	959	989	1231	981	1119	829
IQCH	0	47	40	47	23	25	36	18	26	19	32	21	14	20	17	27	26	24	48	5
LACTB	179	400	551	592	573	376	329	205	183	206	182	152	89	86	1685	1754	1442	1356	1275	2170
CORO2B	18	20	16	27	8	0	24	12	1	2	3	2	2	7	135	174	131	207	346	91
CSK	1056	2459	2338	1933	1346	958	56	30	32	38	102	68	20	17	1698	1730	1514	2580	1710	5282
HERC1	269	1486	1257	1337	1336	1006	373	346	249	270	214	180	118	168	1684	1484	1846	908	1409	2464
TRIP4	237	506	627	732	801	374	239	154	135	178	170	196	212	155	428	417	425	551	433	613
MTFMT	189	244	354	375	279	230	145	117	79	123	202	168	95	65	172	201	178	157	201	157
RASL12	28	30	25	5	56	28	16	10	1	15	0	1	0	4	4	36	14	38	8	29
AP3B2	4	75	44	13	14	41	41	16	12	14	7	1	4	8	7	5	13	12	10	12
ACSBG1	0	9	0	10	0	2	285	124	166	231	244	206	243	203	6	15	4	11	4	11
IGDCC4	122	1394	631	193	444	397	182	83	68	69	62	39	80	106	738	515	620	271	516	32
RAB11A	674	1145	1840	1182	2053	688	3903	2542	2047	2592	3067	2703	3146	2631	2241	2998	2689	2902	2769	1858
CTSH	22	70	115	171	511	41	58	27	15	12	25	21	13	7	1369	1419	453	1397	704	7142
GOLGA8UP	0	0	0	0	0	1	13	15	4	3	0	2	4	1	0	0	1	0	0	0
TTC23	344	212	865	198	164	164	111	71	65	82	95	70	45	68	304	386	389	296	362	115
CD276	776	4568	3802	3644	6917	1554	603	372	357	463	195	192	221	211	5413	4078	5368	3140	4692	1517
FAH	320	585	425	758	582	211	88	49	31	48	164	148	68	53	436	974	697	546	689	895
CEMIP	0	28	4	3	16	16	31	19	10	16	2	7	8	13	371	1484	506	1707	1827	251
RPAP1	371	1267	1110	1132	823	596	90	109	55	68	114	92	38	34	406	557	646	436	668	521
HOMER2	376	291	330	461	633	201	62	44	33	42	54	57	40	38	95	136	164	86	100	148
EHD4	707	1378	1498	2266	1424	741	154	117	75	134	97	82	98	98	429	788	494	567	811	1007
TMEM87A	409	1604	2160	2551	1610	1429	1248	812	573	763	2125	1991	779	681	850	849	871	1025	1030	993
ZNF106	593	1871	1262	2650	1266	1081	907	934	393	425	831	831	301	337	1484	1415	1562	1073	1528	1838
CEP152	98	167	130	93	196	117	54	60	63	85	64	59	59	49	90	133	148	118	147	147
ATP8B4	14	14	36	19	47	28	36	25	33	34	36	42	41	36	184	160	117	204	159	441
OCA2	17	98	60	42	71	35	18	7	3	8	26	18	4	4	2	78	6	0	4	0
DTWD1	104	536	437	496	459	429	592	449	479	626	887	821	562	420	948	900	781	1144	863	336
FAM189A1	590	2155	1541	675	483	820	45	39	35	44	29	22	32	41	7	0	2	9	21	4
GABPB1	147	615	556	596	646	337	315	257	181	259	263	264	434	323	365	264	341	438	412	328
TJP1	733	4161	2733	2850	3371	2173	1329	1168	578	878	736	721	591	533	193	130	236	207	232	14
BMF	63	13	78	25	62	48	20	4	8	14	3	3	2	5	483	524	151	299	130	1727
DMXL2	41	356	245	325	385	257	253	186	134	147	251	234	117	106	2256	1572	1707	1516	1291	4955
SCG3	0	1	0	5	0	2	1	4	2	0	4	5	3	1	57	28	17	39	6	156
DNAJC17	361	424	714	544	612	266	176	96	68	106	169	147	151	119	195	224	220	284	273	241
EIF3J	3670	1426	2447	2400	2020	1164	788	525	539	803	647	592	602	545	1573	1404	1858	1977	2524	1113
SPG11	396	1437	1117	1281	1115	711	333	257	209	232	349	313	201	161	1738	1570	1857	1102	1359	2246
RHOV	0	0	8	0	0	0	4	0	1	1	0	0	0	0	13	8	9	47	12	54
VPS18	553	1253	1275	1538	1148	593	50	40	52	50	38	34	16	23	828	881	967	873	982	1573
OIP5	33	17	13	12	10	16	23	16	11	16	11	13	4	6	5	13	9	3	7	8
SLC30A4	16	185	129	114	125	127	66	38	42	55	40	33	43	41	172	105	178	140	219	173
BLOC1S6	206	1505	218	442	641	220	689	556	362	600	492	433	565	524	1283	1302	1526	1507	1688	1311
MYEF2	224	447	505	403	601	510	378	318	178	257	236	264	167	155	592	566	595	471	605	93
SGK3	14	72	62	59	67	56	69	58	75	68	91	67	49	32	447	425	334	384	207	1198
PDGFRL	10	24	101	8	22	8	21	16	13	20	3	8	5	6	55	114	35	51	45	11
CSPP1	1699	500	581	428	507	271	289	233	164	199	344	330	106	127	171	155	195	183	234	240
ZDHHC2	290	838	795	834	862	609	402	123	162	197	273	227	185	232	703	571	729	653	729	638
BRF2	89	351	219	285	219	124	88	41	31	53	53	48	23	30	70	162	134	134	168	162
TRIM35	490	1866	1926	3111	1019	936	96	67	60	77	273	205	58	53	878	628	1006	570	826	411
ZFAND1	27	75	168	203	134	148	324	223	146	168	298	271	177	174	422	366	317	348	408	292
CA2	42	464	84	81	179	21	289	164	22	17	39	17	103	92	64	89	23	41	35	192
FZD3	55	175	147	88	125	110	287	256	77	111	34	28	80	74	148	499	344	204	242	68
INTS9	502	712	665	974	685	372	194	259	130	174	285	260	213	211	328	359	340	431	361	494
RIPK2	351	413	537	859	614	201	257	198	190	257	156	124	209	156	789	411	365	748	536	781
NBN	208	765	552	558	524	499	285	264	236	363	398	370	417	249	2270	1098	1263	1471	1401	1895
TRPA1	0	0	0	0	2	0	11	9	31	33	22	18	2	9	2	16	7	10	13	11
CPQ	201	1091	896	1613	1065	516	405	186	197	219	514	469	196	236	512	797	387	514	275	869
DECR1	691	1423	1331	2183	1793	546	1718	947	857	1125	3443	3050	1652	1315	2563	1838	1636	1745	1338	781
CALB1	0	70	14	19	27	7	15	8	22	15	26	10	57	35	18	21	9	17	4	6
IMPAD1	591	3810	2732	1850	2212	1662	692	535	432	481	401	343	415	426	3191	4070	5056	3122	4009	1317
SFRP1	69	452	298	47	358	317	129	62	58	72	28	32	70	50	1457	1531	693	664	1098	55
LAPTM4B	326	2527	1644	1155	1436	1391	1136	1032	823	1192	753	546	1884	1901	3283	3727	3529	3981	6331	988
UBE2W	66	144	169	267	218	169	1050	537	322	454	440	426	369	339	630	608	480	598	527	825
POP1	71	514	511	714	638	424	119	121	89	122	124	72	110	76	171	204	317	233	467	242
NIPAL2	79	143	171	252	141	92	70	76	28	54	57	63	47	35	166	245	280	187	210	167
IKBKB	214	904	946	861	1000	558	185	107	80	133	111	100	50	55	1404	1223	967	1059	1092	2358
PLAT	20	39	60	45	154	115	13	25	14	14	8	11	19	7	73	280	86	116	177	64
JPH1	0	4	0	0	0	0	2	1	3	1	1	1	0	2	2	4	8	4	9	0
STK3	160	376	366	864	562	276	517	416	249	398	691	625	289	282	397	418	380	330	364	371
GDAP1	91	165	253	127	62	91	91	93	65	85	68	60	72	56	53	166	140	47	88	82
RAB2A	693	2181	2358	1986	2141	1434	2643	1808	1266	1676	1510	1229	2255	1989	3429	3116	3567	3299	3527	1896
EIF3E	2096	2252	3653	4301	3593	2521	2999	1953	1334	1722	2227	1955	1816	1552	3641	4030	3595	4809	4561	2876
EMC2	169	376	407	439	400	220	522	350	193	301	493	460	438	350	792	901	760	760	708	635
ESRP1	0	5	0	0	0	0	10	1	6	5	7	4	5	6	0	0	1	9	0	0
NDRG1	2793	8351	4958	4387	2813	1582	258	232	193	291	188	171	287	289	1946	5882	2417	3175	1677	2836
ZC2HC1A	33	82	66	106	86	53	332	177	57	121	155	140	126	92	75	108	69	69	95	112
IL7	0	1	3	4	3	0	76	55	34	48	53	63	43	27	11	8	7	17	13	16
ARMC1	126	297	359	447	270	286	361	247	146	221	375	289	309	219	466	493	516	585	614	470
TRPS1	69	211	277	29	79	80	62	36	58	65	39	27	37	54	231	248	187	177	174	368
SPAG1	14	88	71	44	163	26	234	161	97	116	87	93	157	184	107	128	136	137	158	65
CHRAC1	223	435	464	422	385	272	208	167	126	178	195	175	196	146	303	451	371	350	317	520
NCALD	313	654	435	117	472	85	360	367	176	203	29	18	72	77	353	778	1343	340	319	143
SNX16	22	70	88	53	48	48	128	81	60	81	76	53	33	49	187	140	149	166	186	187
UBR5	422	1946	1617	1792	1470	1612	516	328	274	389	319	336	261	214	1760	1873	2275	1336	2077	2167
GSDMD	2227	3950	4735	3350	2963	1217	177	114	108	119	261	193	93	105	44	41	84	78	49	70
TSTA3	1067	1140	1601	1711	1249	786	381	229	206	257	317	346	309	260	75	10	14	15	15	6
PYCR3	75	590	915	1312	803	457	29	13	8	32	76	74	16	19	2	7	43	32	13	22
EEF1D	9154	7886	7830	7946	7911	2845	2188	1422	1229	1652	1873	1740	1563	1404	64	79	55	63	103	144
ANXA13	6	12	21	13	3	0	10	6	9	18	8	2	9	5	59	46	73	36	57	12
SQLE	527	12729	4759	3520	5065	4210	2530	1831	1361	1891	1014	1001	1569	1367	2640	1808	3671	2338	2689	484
SH2D4A	2377	5466	3324	3009	3780	835	587	449	368	524	281	306	574	578	1238	1326	2464	2569	3221	535
INTS10	790	1206	1879	1337	1136	919	384	245	215	294	502	570	264	174	1367	1265	1128	1361	1452	1030
ERI1	58	161	241	133	184	143	178	119	107	126	88	88	91	66	6	114	12	48	17	13
SLC39A14	538	5870	4304	3787	2612	2271	569	461	383	507	746	686	511	479	8666	6221	8855	14437	14297	1680
MTMR9	239	534	445	565	403	345	266	264	202	207	293	200	166	161	17	24	21	31	36	9
LEPROTL1	422	1011	2571	1309	894	544	2629	1875	1267	1628	1592	1369	1670	1607	3929	4701	4235	3263	3233	2022
DCTN6	472	764	892	1022	1160	572	1576	1054	752	901	1054	861	1110	1019	370	522	538	651	608	388
R3HCC1	1644	1369	1681	964	1644	523	208	152	120	193	208	266	236	193	444	698	562	621	592	578
GSR	1141	2186	3291	2399	2196	1671	287	276	343	397	230	196	132	99	1817	3095	2242	1584	1816	2105
TNFRSF10A	33	188	148	116	133	60	53	72	12	23	37	28	41	37	119	108	101	158	129	252
UBXN8	379	765	973	571	753	576	356	234	205	322	234	199	405	362	357	598	476	460	476	227
PPP2CB	919	2323	2682	3827	2404	1997	1020	597	502	643	1006	807	695	636	1677	1996	2127	2007	2251	1187
ERICH1	824	890	729	643	847	387	206	106	108	133	161	151	139	114	419	342	397	527	405	567
NEFM	69	27	20	14	7	0	5	1	4	6	6	1	1	4	28	6	17	78	49	8
TUSC3	425	2996	2317	2603	2284	1142	1137	921	372	498	632	584	559	620	1671	1737	1349	1281	1172	266
ARHGEF10	74	1429	677	1856	967	145	198	164	62	128	192	146	39	55	0	0	0	0	0	0
KLHDC4	604	877	693	827	584	267	83	74	49	69	86	98	39	43	820	635	739	807	768	1031
MCM4	137	418	502	310	295	267	46	39	37	50	46	49	47	54	241	479	432	325	690	312
KCTD9	120	383	364	514	344	305	599	421	244	277	238	260	239	269	578	739	782	630	729	486
ASAH1	190	951	839	1530	1019	510	804	408	282	286	1098	962	516	372	8593	8095	5029	4037	2545	17705
BNIP3L	4288	9961	11293	8553	8739	7791	8706	6548	4314	5657	7044	6468	6329	5471	3287	5117	5232	4574	3748	2492
MAN2B1	2256	3598	4373	4142	2758	1183	79	69	64	77	64	89	35	47	1734	2297	1510	1484	1204	4456
KCNN4	10	19	17	20	26	0	16	0	2	1	1	0	2	0	175	161	120	422	242	586
TULP2	0	23	14	6	4	6	9	9	3	2	6	6	7	4	4	11	3	23	9	23
NUCB1	5346	12902	12656	12734	10946	5236	352	388	291	399	495	367	188	239	5708	7244	4493	5248	3733	7092
DHDH	0	2	0	2	0	0	7	2	2	7	1	2	3	3	5	2	3	7	3	27
GYS1	4468	18148	11903	9994	6769	3111	327	303	208	276	444	388	396	488	1580	2721	3608	2371	3028	1253
MAP4K1	0	5	8	28	57	0	12	9	5	3	8	4	4	2	38	21	22	42	15	125
ECH1	2812	8748	6255	8915	7420	2520	1429	841	843	1062	1943	1944	1324	1203	0	0	0	0	0	0
HNRNPL	3910	8403	7989	10374	5216	3358	437	425	420	600	620	513	260	333	0	4	2	3	3	2
NFKBIB	1477	1426	2425	1865	1305	653	55	74	71	64	112	66	58	72	4	0	0	4	0	2
LHB	11	31	6	15	0	0	2	1	0	0	0	5	1	0	7	0	2	12	3	7
TUBB4A	564	2378	985	2710	584	344	58	64	55	61	342	264	36	50	716	2007	2186	790	1222	115
SARS2	720	696	828	894	649	392	45	32	27	31	52	51	35	33	0	0	0	0	0	0
KCNA7	0	2	6	0	2	0	10	8	4	6	0	2	5	2	1	0	2	1	0	0
SNRNP70	7113	10589	9287	8840	7253	3581	167	130	175	221	310	264	83	86	7306	6429	6654	8955	7018	9961
CLPTM1	2738	5361	3517	11193	3261	1786	334	279	275	285	395	263	193	194	3141	3510	3871	3148	3824	2770
RELB	585	1339	1635	1377	1058	599	65	57	54	58	33	30	47	25	1078	1065	744	1329	1060	1995
CLASRP	1811	2260	1816	1759	1274	686	45	42	50	97	55	61	20	34	1257	868	852	1246	944	1668
LIN7B	171	170	272	156	151	68	23	18	12	18	31	22	30	17	96	111	98	109	96	68
PPP1R37	1023	2878	2784	2649	1555	1097	41	27	11	31	33	19	4	9	804	750	791	727	758	1249
FCGRT	1182	2518	3741	2244	2567	1098	435	305	199	313	280	234	215	207	3761	5129	2434	3784	2061	9203
PIH1D1	1106	1354	1767	1268	1595	629	282	209	189	251	302	323	297	261	993	1149	924	1457	1091	1210
CKM	11	15	16	36	10	4	6	10	3	14	10	1	3	3	7	4	0	9	6	7
ARHGEF18	940	3451	1694	1471	1835	1201	71	56	53	71	47	41	25	17	598	700	603	799	654	1414
PPP1R13L	1925	8389	7299	3667	2519	1758	82	62	93	123	70	62	114	118	457	1032	938	1313	1665	219
PEX11G	102	91	178	234	284	49	14	12	10	19	14	9	16	17	58	107	99	73	65	45
ERCC2	2536	4542	6334	5738	3702	1911	228	178	148	198	214	173	147	154	1121	1565	1302	1190	1727	546
DOT1L	2224	12585	7069	10946	4946	3235	325	331	172	237	157	113	93	94	1999	1451	2016	1859	2054	1776
PLEKHJ1	777	1062	1480	1555	1059	606	581	352	295	394	806	810	309	285	888	926	1076	1276	1070	883
SLC17A7	11	9	17	2	6	0	16	10	3	5	0	1	3	7	7	6	0	1	6	7
RNASEH2A	240	348	551	413	504	278	101	62	55	87	89	71	82	83	7	7	6	6	4	4
KLC3	90	390	371	400	304	95	47	17	30	37	33	23	36	34	25	25	19	44	40	9
CD37	0	6	23	98	266	21	44	31	9	28	16	11	10	9	1090	1135	520	1192	396	4063
SF3A2	1245	2181	2867	2435	1868	1303	46	30	42	65	83	45	13	26	488	505	497	534	567	940
AMH	2888	12215	10722	872	4858	5265	39	43	24	35	37	27	55	58	37	33	42	29	45	39
DKKL1	0	0	1	0	4	0	13	4	3	5	0	2	1	3	3	2	3	0	1	0
LYL1	15	41	37	77	310	40	4	2	0	2	0	1	0	3	117	171	83	181	46	683
OAZ1	10324	14206	20723	20724	13998	6954	6726	3343	3482	4796	7500	7494	6354	4971	9358	10851	9470	14386	9731	18600
TRMT1	964	1274	1355	1243	738	458	69	46	51	73	90	75	53	63	551	565	724	1051	1252	1072
STX10	806	1077	1282	1169	1289	546	141	84	70	106	109	121	104	86	867	894	695	1030	694	1193
RETN	0	0	0	0	22	0	3	1	0	0	0	0	2	2	14	2	142	151	31	62
FCER2	0	0	6	0	30	0	6	4	6	7	0	2	5	4	157	162	77	335	145	236
DMPK	1148	2047	1318	1260	1014	548	45	28	36	50	39	25	13	14	905	815	979	663	650	347
CLEC4M	139	154	241	46	249	134	168	128	36	43	14	27	35	25	10	87	26	56	36	10
RSPH6A	0	0	0	0	0	4	9	4	1	4	2	0	2	3	0	0	1	5	0	0
TBC1D17	1553	3021	2747	2263	1439	865	87	98	53	82	94	81	22	41	1100	1068	947	1331	912	1419
IL4I1	3	15	29	9	37	0	33	50	45	56	52	45	26	27	605	598	289	434	242	2896
TLE6	0	48	8	18	10	0	7	5	8	3	3	1	2	8	16	30	13	14	8	7
CCDC130	960	1915	1898	1472	1186	580	405	338	235	263	300	222	274	259	842	679	702	1055	707	1009
PTOV1	8893	14035	15616	14406	9720	4737	566	324	309	443	545	506	366	353	1727	2200	2222	2524	2133	1703
NOVA2	45	66	94	45	61	86	5	3	5	5	5	4	4	3	3	27	6	10	22	8
SGTA	3965	6518	7798	7246	4287	2192	134	133	110	157	176	196	108	102	1236	1417	1382	1516	1648	1589
LILRB1	0	0	12	9	154	0	5	7	5	0	1	0	1	2	93	42	85	113	13	142
MED25	2646	5461	4783	5223	4642	2210	318	238	185	275	207	142	116	93	1315	1952	1887	1535	1422	1322
LILRA1	0	0	6	26	66	0	5	12	3	6	1	1	2	5	0	0	0	0	0	0
SNAPC2	862	1469	1928	2123	1426	641	91	71	83	80	96	56	41	45	367	572	473	568	651	515
C19orf53	1941	2429	2869	6718	4988	1581	1664	860	709	923	1069	959	1254	1196	1373	1425	1295	2108	1614	1156
TIMM44	973	1569	1472	1943	1383	641	208	181	135	206	204	173	131	121	879	859	985	959	1100	824
CCDC61	797	996	965	914	880	380	20	17	9	7	15	13	12	8	253	304	280	317	247	367
IL27RA	63	26	103	59	74	34	15	8	5	7	2	0	3	2	0	0	0	0	0	1
ASF1B	24	28	36	6	37	56	11	5	2	15	6	2	3	6	0	0	0	0	0	0
TNNT1	1857	880	965	319	790	385	102	58	70	96	23	26	102	80	301	189	159	373	285	136
VRK3	876	1268	1756	1708	1272	787	421	313	254	278	383	358	279	273	715	813	671	837	704	1093
FAM32A	2381	3276	3625	3199	2762	1258	854	476	392	436	564	502	596	546	1373	1350	1463	2096	1735	1661
PPP6R1	3211	7619	7795	6520	5010	3076	61	53	60	74	91	57	28	45	2801	2831	3093	2825	3534	3601
C19orf44	170	323	165	219	182	116	67	43	46	63	63	58	58	39	59	58	43	40	92	79
MED26	152	379	268	599	336	215	34	32	14	28	42	28	30	28	129	109	146	145	155	154
OLFM2	80	156	139	65	103	52	14	8	15	8	3	3	8	6	89	41	47	108	109	68
RASAL3	0	0	13	29	85	0	21	11	4	4	5	2	4	8	765	549	756	997	443	2825
AKAP8	452	1629	1367	1700	1017	584	182	104	146	153	175	125	82	118	764	627	718	944	908	1153
EPHX3	0	27	25	18	18	4	20	12	8	6	5	4	6	0	5	8	3	14	3	8
ILVBL	690	2440	2295	2146	1872	980	129	54	72	126	83	85	63	71	682	1190	980	815	841	735
ZNF419	76	97	119	139	119	57	87	41	36	37	64	79	29	40	214	194	215	208	171	193
SYDE1	978	1785	1121	639	675	761	29	20	13	28	25	14	25	24	297	602	534	633	790	143
SLC1A6	0	10	3	4	15	7	12	10	3	5	4	7	8	11	2	0	0	0	0	0
AURKC	18	68	40	34	56	5	7	9	7	11	19	19	12	8	45	15	16	33	27	33
POP4	457	610	882	838	793	350	654	374	303	366	433	419	605	397	498	605	631	785	735	670
CCNE1	24	61	68	27	59	36	5	6	8	13	4	11	2	5	56	70	52	98	119	54
URI1	329	861	1163	847	913	663	240	153	140	185	237	231	183	162	1214	1421	1423	1059	1133	954
PDCD5	899	2584	2364	2592	2762	1118	2192	1216	847	1156	1893	1518	1902	1709	1343	1147	1195	1796	1765	725
ANKRD27	297	1407	1446	2002	833	850	200	137	157	166	433	428	80	63	455	522	494	556	500	797
RPS16	12608	10427	16231	20713	18550	5831	5653	4769	3010	3896	3998	3497	3100	3383	7992	7482	6213	12288	8093	7689
TIMM50	1071	1503	2644	3421	1966	1078	554	388	307	472	532	493	478	431	821	1021	1104	1168	1438	835
LGALS13	0	0	0	0	2	0	1	3	5	2	0	1	1	1	0	0	0	0	0	0
FBL	3558	5699	4665	4272	4294	1457	378	307	328	429	402	384	714	571	64	136	36	351	163	465
DYRK1B	480	1274	1425	1088	919	496	27	40	50	53	41	32	7	9	30	62	9	45	18	18
CLC	0	2	0	3	10	0	0	1	5	0	1	2	0	1	156	175	67	282	111	376
CNTD2	54	89	54	26	26	10	7	1	3	4	3	3	1	4	29	35	19	44	27	19
GPI	7965	19308	15139	17722	13039	5834	1054	1280	776	1085	1080	876	924	1018	5813	9106	10876	8680	9893	3889
AKT2	1835	4421	4451	3496	3183	1717	187	244	144	228	182	156	79	106	2581	2877	2732	2347	2522	2730
PLD3	3347	14159	9978	14402	8785	4292	1128	977	760	908	1348	1112	723	810	7127	9071	4760	4272	3574	18437
PRX	60	558	463	332	199	168	10	6	4	7	1	3	2	6	139	123	90	86	64	112
PIAS4	1163	1877	1862	2045	1235	849	101	129	74	112	175	147	51	59	584	606	598	724	593	875
NUMBL	816	2197	2517	2202	1801	1181	114	96	61	81	67	54	29	40	386	547	414	497	567	208
EBI3	0	4	4	0	9	0	5	2	2	2	3	1	0	3	50	30	16	104	76	157
YJU2	787	1582	1517	1361	1322	418	78	52	55	68	56	69	56	59	264	269	278	469	413	484
TBCB	2449	2609	3956	3252	3806	1686	1703	897	861	1163	1357	1261	1567	1418	1106	1436	1399	1660	1656	1510
FSD1	240	238	295	112	163	130	25	23	16	18	7	8	24	17	42	24	16	79	99	109
POLR2I	722	715	1215	1135	1015	379	967	511	401	562	774	742	694	616	165	210	152	334	224	170
OVOL3	0	0	0	4	0	0	9	13	4	9	3	7	3	8	0	0	0	4	1	8
CLIP3	2308	2589	4080	1530	2173	1807	204	257	94	152	89	71	72	99	309	484	324	377	449	92
ZFR2	0	7	10	0	17	0	10	6	4	8	1	1	4	3	7	8	6	9	5	7
SLC1A5	493	2415	3521	3802	1454	1839	62	78	76	119	253	188	41	46	1640	1044	824	1093	1458	1014
PRKD2	538	970	1280	975	800	517	39	18	27	46	40	25	18	29	634	675	463	665	490	1114
TJP3	18	10	30	6	5	0	9	10	4	3	4	2	2	4	37	79	12	124	18	212
APLP1	4	48	53	5	36	17	12	6	3	9	1	4	2	1	24	24	9	8	20	25
CACTIN	852	2024	2229	1858	1398	901	22	17	11	16	24	28	6	14	411	455	422	481	457	724
CCDC9	793	1975	1676	2002	1456	663	34	21	35	27	28	30	25	13	682	581	513	741	546	830
HNRNPUL1	4103	9887	9494	8070	7217	3980	282	333	257	334	289	259	247	270	2874	3213	3098	2713	3519	4009
FZR1	437	1808	1209	1229	893	688	89	53	58	80	50	34	41	46	985	1101	1173	1035	1125	1317
BBC3	445	965	2046	1053	667	571	46	43	44	49	33	45	25	30	296	343	172	309	199	694
AC011462.1	5384	16019	15094	14859	9970	5980	475	403	296	368	855	828	394	477	1	0	0	1	0	0
DENND3	759	1808	1944	1217	1696	935	93	61	59	56	175	108	64	52	898	499	490	636	300	2085
DMAC2	713	900	1520	1804	1423	689	224	165	139	208	232	178	173	164	688	702	713	788	837	706
CEACAM4	0	0	3	14	28	0	9	7	3	3	1	0	1	1	3	4	3	5	2	13
PLIN3	7222	9419	9617	12012	8009	4811	1798	1391	1097	1450	2339	2084	1149	1308	3685	5916	5082	5666	5526	2519
MYH14	0	2	0	0	0	2	39	35	7	13	7	3	10	5	4	5	0	68	10	1
MRPL4	2378	2050	4079	2954	2537	1654	251	199	171	237	301	323	214	207	464	716	761	891	832	658
CD79A	0	6	20	10	66	0	2	4	2	2	1	2	1	3	117	262	71	153	113	468
ICAM4	0	0	0	0	8	0	2	1	3	0	0	0	0	2	0	0	0	0	0	0
RPS19	30247	20187	31304	27968	26495	13717	18422	9718	9208	12783	9690	9652	13292	11521	10096	10111	8261	15364	11233	10118
NOP53	11004	7861	12004	10036	8502	4527	237	233	239	288	249	199	134	123	4046	4956	3242	6015	3055	6354
NKG7	0	0	7	31	93	4	3	2	5	0	0	0	0	0	462	218	531	581	211	1037
ICAM5	7	271	13	33	31	16	8	2	5	2	1	1	2	4	100	97	116	274	186	125
ETFB	3933	4083	5121	6775	4657	1685	440	373	295	410	910	859	544	473	477	701	613	715	420	490
CD33	0	4	0	8	43	0	7	7	8	7	8	1	2	6	148	189	84	129	27	532
CEACAM5	0	0	0	0	0	2	1	4	0	6	0	2	0	1	1	0	0	38	19	0
BABAM1	1932	1941	3055	2661	2395	929	413	349	226	314	456	370	292	283	445	451	441	638	481	581
TYK2	1544	4528	3770	2432	2511	1383	120	74	77	88	112	80	65	68	2408	2552	2127	2515	2152	4436
SULT2A1	0	0	6	28	0	0	9	7	2	8	11	6	3	2	0	1	7	3	3	0
CDC37	2502	4460	5048	4068	3253	1981	366	513	426	603	520	459	363	341	3219	3545	2953	4588	4351	4864
NAPA	1420	2565	3203	2865	2287	1064	981	728	584	866	790	704	747	599	1610	1901	2095	1748	1843	2183
RABAC1	3770	3655	6769	4649	3868	1995	2593	1323	943	1115	1624	1507	2032	1779	281	277	193	521	313	391
ATP1A3	4	3	2	0	4	2	23	5	1	3	1	1	6	5	4	5	6	0	1	8
MEIS3	2266	4549	1713	2545	1875	592	124	89	43	68	24	14	74	63	287	229	182	441	169	65
PTPRS	574	2845	2640	1639	1772	1607	100	88	66	95	49	48	39	34	634	969	743	392	747	146
CNFN	24	24	69	84	60	10	11	13	7	11	32	20	9	11	6	12	3	9	4	13
MEGF8	671	9711	6306	5109	3285	3268	139	105	78	84	190	158	67	59	2099	2542	2489	1370	2036	808
KDELR1	3620	7107	11726	6869	5545	3308	1371	1478	1018	1414	1481	1328	1233	1047	3179	3034	2131	2733	2783	2059
CYTH2	1424	2195	3027	2693	2758	1496	253	120	162	212	127	154	128	103	1009	1131	1030	1644	1382	1088
GRWD1	769	1688	2328	2154	1565	1099	73	65	71	99	116	64	46	40	496	688	912	858	1359	799
GRIN2D	103	166	263	43	62	64	5	5	6	2	3	1	5	5	39	56	33	35	36	24
CLEC11A	261	248	276	433	272	90	75	34	27	40	34	22	30	33	146	411	139	229	183	294
CCDC114	14	32	37	23	0	0	17	11	8	6	3	3	11	3	14	10	20	6	6	5
