	GSM4110156	GSM4110157	GSM4110158	GSM4110159	GSM4110160	GSM4110161
RBBP5	324	926	627	835	513	361
GBP3	82	296	215	357	355	9
GBP1	252	1257	1141	1413	1378	608
PINK1-AS	1048	1227	1453	1134	807	516
KIF17	20	8	7	6	7	6
GPR89A	8	225	344	372	292	138
CDK18	450	1372	779	1538	576	134
RAB29	80	326	364	388	113	180
CD160	2	4	2	9	5	19
ECE1	18744	56379	31215	46213	30047	16558
HMGCL	734	1542	1489	1645	730	330
GALE	103	523	470	605	291	125
ID3	435	346	1377	276	1741	1013
CR2	0	3	0	0	0	0
CD46	64	2545	794	1016	947	749
PRPF3	704	1824	1213	1418	1128	473
APH1A	1737	2033	3893	2270	2795	1329
P3H1	993	3774	3552	2667	1775	1620
SLC2A1	1147	16218	7428	5477	2826	3331
EBNA1BP2	1614	3129	3372	3645	3154	1294
CDC20	120	48	50	15	150	110
MPL	0	13	0	6	0	0
ARTN	28	227	31	77	49	10
IPO13	1084	2132	2259	2374	1487	992
ATP6V0B	1143	1503	2207	2735	1528	933
B4GALT2	1140	2083	2526	3302	1594	1051
ERI3	1151	1698	1776	2300	1517	934
PTCH2	20	71	52	142	27	38
AKR1A1	600	1053	965	1262	1283	483
PRDX1	2907	3657	6159	7362	6578	3040
PIK3R3	65	136	226	156	126	97
TSPAN1	0	0	10	14	13	5
BLZF1	147	423	417	456	372	360
CCDC181	192	150	290	303	285	123
SLC19A2	99	1172	896	2558	765	692
FAAH	251	289	145	90	107	57
NSUN4	792	1267	1315	1205	849	423
TMED5	275	2643	1745	1920	1437	1313
DR1	426	1908	1521	1524	1258	1094
CNN3	3758	9761	10746	9523	14214	6633
PRRC2C	42904	9763	14586	11987	9060	3482
F3	273	1196	1391	635	1827	1597
ABCD3	524	2527	2052	2072	2009	1379
VAMP4	239	714	576	397	547	296
DPH5	80	127	131	224	234	117
FASLG	0	0	0	9	0	3
PTBP2	30	76	76	232	57	62
TNFSF4	45	144	251	46	181	126
PRDX6	5920	13456	13829	26739	12785	5422
DARS2	89	389	396	656	427	357
HSD11B1	3728	51632	31034	61319	21353	13188
IRF6	45	84	217	122	57	66
UTP25	51	475	311	658	358	315
PLPPR4	0	2	0	0	0	0
SERPINC1	0	14	9	6	0	9
RCAN3	19	133	327	241	236	175
SYF2	1207	1291	1704	1497	2018	775
RSRP1	100	783	389	704	455	184
SLC35A3	57	132	208	265	86	112
RCOR3	200	417	446	368	354	253
STMN1	1260	833	2880	744	2585	1439
MTFR1L	860	1846	1684	1643	1516	825
MAN1C1	10	22	47	50	58	33
NEK2	3	6	6	7	44	12
RPS6KA1	406	678	356	507	466	190
DHDDS	496	1368	1454	1390	938	659
NENF	1412	1050	1928	1552	1468	469
NSL1	303	496	570	227	609	350
PROX1	18	437	192	100	70	222
ARID1A	2221	5175	3908	4024	2686	2981
CENPF	199	140	108	142	276	395
RPA2	265	654	738	652	762	421
PPP1R8	204	611	693	771	831	459
STX12	534	797	1057	1119	1254	714
MARC2	70	1037	324	337	191	103
SLC5A9	0	3	0	0	0	0
OSBPL9	997	3205	3510	3203	3331	1958
TXNDC12	535	1120	2154	1263	1477	1471
ESYT2	3145	30214	15378	11945	9590	7174
CD3EAP	33	196	204	237	75	98
MESD	475	2302	2814	1899	1603	933
RCN2	298	1508	1597	1277	1504	1108
CHRNB4	0	22	26	8	17	26
MUC5B	4	14	2	9	8	0
CTSD	4854	10413	14574	11896	8069	3695
COLEC11	82	188	228	181	113	20
STAG1	362	845	817	693	646	601
STK11	4467	5159	6978	4249	3424	1673
KMT2A	781	944	591	808	581	603
TREH	0	58	7	24	3	4
IFT46	227	348	654	513	593	166
APOA1	2736	7193	9494	13917	5117	1580
ZNF541	77	125	64	36	141	38
SLC8A2	8	127	19	4	16	0
KPTN	486	636	928	666	543	264
RPS25	13833	12022	18845	18128	21500	7910
KIF14	8	4	8	9	19	33
TNNT2	0	0	0	0	6	0
DDX59	54	284	344	349	375	221
CAMSAP2	506	1853	959	1485	920	744
ATF6	1185	1896	1929	2070	2007	1363
CRYGD	33	34	76	34	24	13
MREG	24	6	25	14	26	18
FASTKD2	275	561	685	1016	574	427
NRP2	82	72	366	152	519	395
CREB1	159	563	678	408	474	382
KLF7	150	3522	2078	6766	1173	1183
TTR	0	0	0	10	0	0
B4GALT6	25	61	29	27	45	58
C1orf54	0	20	19	16	13	0
CA14	46	22	20	29	7	4
CASC1	0	0	0	7	0	0
LRMP	0	12	2	22	70	6
ATP10B	0	0	0	0	4	0
SPCS2	194	986	1076	1147	1024	426
USP35	167	666	468	592	395	312
ELOVL4	4	48	75	33	43	57
FILIP1	32	10	62	116	45	52
CASP8AP2	69	227	211	120	288	190
HMGN3	1882	2574	4912	4327	6711	1509
UBE3D	7	41	39	52	43	28
CNR1	0	0	0	5	0	0
ANKRD13C	139	622	454	508	465	305
SGIP1	5	13	5	0	4	0
PHF3	753	2212	463	1475	1636	1116
PLAGL1	109	689	271	480	559	533
FBXO30	41	156	175	257	165	238
TNFAIP3	803	7120	2455	8493	3579	1996
AKAP7	419	737	722	681	676	375
RAB32	476	639	980	798	831	310
MYB	6	6	37	43	17	39
ALDH8A1	50	73	73	36	101	52
SGK1	1570	8854	7854	20102	9102	6086
RNF146	76	578	272	380	516	225
ARG1	0	0	6	4	16	1
CCN2	437	3977	1615	4871	1480	582
TCF21	141	230	374	126	362	331
PMFBP1	0	31	30	62	34	32
FBXL5	405	1511	1545	1895	1476	1245
MED28	447	1092	1367	1659	1189	828
SLC16A7	26	286	135	243	147	148
RXYLT1	53	264	375	319	359	181
ZNF430	85	248	203	134	139	169
VAMP8	34	50	69	35	320	22
DCLRE1B	45	78	132	180	120	110
MYL12B	6032	9901	15125	23896	17687	6239
FOXO3	1113	3700	2760	2443	1571	1702
ARMC2	22	64	57	55	44	34
RPN2	4220	21198	19978	26469	17580	8582
TGIF2	142	549	857	537	494	336
CASQ2	12	0	0	0	0	0
PKD2	106	900	725	649	532	536
ABCG2	0	14	9	17	4	5
SPP1	0	242	234	167	522	93
STBD1	200	202	985	1065	648	541
CCNI	4430	7312	8868	7093	5714	3391
RARRES1	10	145	72	15	74	22
MFSD1	90	581	646	515	485	429
RAB3GAP2	773	1109	1099	1183	944	794
EEF2KMT	101	367	613	674	361	250
PPL	154	1042	885	1358	493	329
UBN1	622	1477	1546	1359	1133	1023
KLF12	191	1038	487	435	400	508
UCHL3	256	485	527	592	662	336
PCDH17	124	803	364	82	176	120
HS1BP3	958	1670	2125	1729	1287	758
LDAH	295	389	891	542	594	409
WDR35	32	412	156	653	387	287
CCND2	3348	7910	11267	7002	6893	4927
FGF23	2	0	0	1	1	0
OTUD4P1	1	1	2	1	7	6
ELL2	915	5043	2615	3481	2052	1707
DNAH7	0	6	5	14	7	22
CYP20A1	404	531	595	672	441	266
NDUFB3	292	816	1073	1172	1305	456
GTF3C3	66	482	415	743	391	422
SATB2	79	303	294	419	148	188
UBE2B	332	808	1127	941	772	520
TRPM6	0	2	0	6	12	0
GDA	0	0	2	0	0	2
KLF9	186	1627	1618	1505	1062	993
TJP2	73	11	339	219	335	309
C2orf40	0	0	3	15	3	4
ITGB1BP1	1087	1438	1729	1584	1708	737
CPSF3	605	874	1371	1271	1328	728
PIGZ	25	7	25	25	18	12
SENP5	73	718	812	658	293	287
CCDC92	2748	4655	5320	6789	5044	1515
C1orf198	404	787	898	535	574	705
HEATR1	208	984	863	1542	1113	996
PTBP3	1372	3077	2374	1696	2823	2461
RAD23B	1689	6104	4910	4682	4093	3002
FKBP15	557	2717	2246	1969	1945	880
CTNNAL1	1593	2616	4298	5036	5476	2652
FAM206A	66	196	194	186	156	129
WDR34	919	646	1305	918	875	533
SET	6810	9674	12314	10036	10405	7519
PTPA	1241	1638	2231	1873	1639	1154
GLE1	386	1165	1131	745	749	517
RAB14	520	1892	2017	1419	1556	1416
CNTRL	104	267	271	279	298	185
TRIM32	101	313	462	279	302	353
FBXW2	921	2749	2266	2088	1630	1171
PHF19	373	635	899	623	552	379
NEK6	337	412	721	419	611	516
BSPRY	22	39	168	173	145	79
PPP6C	458	566	608	1121	747	725
NDUFA8	570	1041	1457	1626	1688	616
HDHD3	663	1854	3664	3795	1740	1347
LCN1P1	19	17	19	3	17	0
RBM18	189	711	715	622	708	508
SLC46A2	52	605	400	356	742	360
HSDL2	1076	1936	1403	2139	1856	1185
MAPKAP1	1301	2909	3210	3520	2993	1531
NR4A3	54	903	1487	1024	883	621
INVS	178	478	506	567	309	289
GALNT12	0	30	14	21	24	6
DENND1A	440	1394	1059	1007	762	445
ALG2	94	1152	895	1065	888	409
CSF3R	95	79	122	931	1914	499
KDSR	421	1165	897	989	600	588
VPS4B	291	1071	956	774	817	729
ONECUT2	21	66	27	72	37	90
C19orf25	724	652	528	723	477	329
ZBTB45	340	602	641	623	647	384
YLPM1	1640	3434	3195	1906	2036	1399
DCAF4	195	305	243	243	409	186
PROX2	0	0	0	0	0	5
FCF1	189	596	727	614	594	453
PGF	433	143	596	485	815	195
IFI27L2	1394	1071	1807	1710	2407	901
BBOF1	81	88	89	106	100	48
NEK9	988	3669	3322	3298	1931	1522
ACYP1	253	304	492	269	497	123
IFT43	364	488	675	692	689	333
NPC2	307	738	1110	905	1565	350
DPPA5P4	0	0	3	1	2	2
DNAL1	101	236	623	739	389	246
IRF2BPL	2323	8705	9936	7007	6928	6092
ACOT2	391	1250	1113	541	511	367
LTBP2	109	172	219	104	208	188
AREL1	425	1646	1367	1361	1041	898
MLH3	476	1153	1211	1051	858	225
TTLL5	359	726	493	672	404	306
FLVCR2	300	1011	1785	4745	1144	767
ABCD4	443	818	800	664	626	374
DLST	1290	3524	3823	2693	2992	1717
PPP4R4	144	439	443	149	363	161
TGFB3	29	53	45	44	42	23
ZC2HC1C	47	215	334	373	292	105
SLIRP	361	400	700	847	830	346
RBM25	23032	3729	5844	4195	3701	1491
ALDH6A1	576	981	1086	1457	1005	743
GPR68	15	18	19	21	4	9
ESRRB	15	4	18	2	14	5
EIF2B2	840	1521	1819	4303	1592	1067
NRDE2	1999	792	837	1087	782	456
COQ6	263	427	537	557	532	251
ZNF410	383	1498	1305	1423	1451	499
RHOQ	517	376	363	836	275	220
GPR75	20	230	30	336	97	48
SUPT7L	795	1885	1319	1708	1263	687
KLHL29	12	52	11	68	26	7
DNMT3A	322	1073	920	809	1001	701
TMEM214	329	2636	3541	2081	2410	767
ATAD2B	76	269	249	294	224	315
FKBP1B	101	59	128	80	175	73
ATL2	171	553	283	313	345	275
YPEL5	414	1475	1923	1294	1124	1005
FAM98A	483	925	1244	1179	1289	967
YIPF4	1604	1018	1139	760	918	708
AFTPH	223	462	559	716	389	344
LGALSL	87	532	270	366	79	109
CNRIP1	51	67	345	274	184	196
BCL11A	47	149	137	15	178	130
CRIPT	80	128	160	183	227	158
EPCAM	2	103	52	67	130	69
SLC17A5	245	270	305	193	222	171
OGFRL1	123	240	392	321	403	312
SLF2	138	1051	682	586	628	471
IDE	78	435	226	588	503	316
ELOVL3	0	0	0	4	0	0
IFIT3	139	114	259	200	315	96
NKX2-3	0	0	0	2	0	0
IFIT2	23	23	21	71	173	30
GPAM	54	540	252	283	206	208
CUTC	97	189	220	360	246	150
PPP1R3C	11	65	49	41	30	77
PYROXD2	143	491	224	404	315	135
CNNM1	60	172	68	27	14	12
MXI1	629	3018	1496	1129	1251	996
SMNDC1	241	414	334	295	304	332
C10orf88	53	225	143	83	171	179
HELLS	32	70	63	60	58	48
PRLHR	0	0	0	1	4	0
TCTN3	410	2126	1835	1956	1697	998
FAM45A	199	180	466	425	438	276
AVPI1	7226	18496	14371	6770	10553	2691
WDR11	303	1361	894	1017	933	696
ARMH3	545	1635	1560	1435	957	661
KCNIP2	180	93	283	49	161	132
CFAP58	0	11	0	5	19	2
GOT1	627	1535	1546	1828	1552	619
C10orf95	0	5	0	0	3	0
SFRP5	4288	11299	20604	13833	9496	3898
GNA13	418	1624	1179	1377	678	1245
KANSL1	380	1118	1510	1062	973	908
CRHR1	0	0	0	0	4	0
HOXB3	0	0	0	0	3	0
DUSP1	4112	23739	21935	33805	23235	13328
PANK3	634	3910	1815	2401	2278	2727
MSX2	0	32	50	2	13	8
TEK	0	33	2	8	2	0
RCL1	479	1435	1455	1632	903	676
CAAP1	78	337	135	135	192	195
MOB3B	290	618	647	649	507	321
INSL6	0	0	0	2	0	3
INSL4	0	0	0	0	3	0
MLANA	30	56	46	19	28	31
CD274	41	190	62	96	192	112
NUP43	223	580	589	489	576	364
MTHFD1L	1500	4810	2932	3078	2447	1196
LRP11	4	720	396	338	332	284
CCDC170	0	5	2	5	22	0
PCMT1	395	812	961	1188	915	528
PLEKHG1	234	1338	670	867	506	752
CXorf21	0	0	7	0	19	0
CYSTM1	235	351	509	1104	679	128
WDR55	1145	2004	2328	1542	1341	682
ARAP3	61	159	157	188	112	40
PCDHB8	0	45	19	52	52	52
PCDHB10	10	48	61	48	24	22
PCDHB14	24	238	220	206	281	75
PCDHB12	2	28	32	27	11	25
SLC25A2	0	0	0	1	0	0
TNN	0	0	2	0	0	0
MRPS14	193	282	385	422	400	317
CENPL	79	78	40	40	46	46
TNFSF18	0	2	7	0	0	0
SEC16B	0	0	3	4	2	0
GORAB	13	202	174	115	129	35
ACAT2	3263	12187	6644	2808	7943	1952
TCP1	2140	2848	4419	4990	3511	2570
SNX19	488	2087	1453	1861	1130	899
KCNJ5	0	0	0	5	14	0
MSANTD2	114	282	289	211	212	85
TP53AIP1	5	44	0	3	8	0
ARR3	0	6	2	4	3	2
PDZD11	455	700	1079	1240	1232	460
SLC10A7	31	451	153	731	285	119
NUDCD1	57	298	238	462	349	358
ENY2	394	626	984	944	1078	445
MASTL	95	411	244	177	184	107
KIAA1217	21	14	56	40	75	150
SEPT7P9	0	10	0	3	0	0
PLXDC2	2490	9589	8997	4887	9335	8806
EPC1	275	894	776	733	612	471
IQSEC3	0	84	53	76	50	6
CCDC77	187	165	210	147	200	215
TAF12	216	287	561	561	520	245
ENOX1	233	672	905	762	400	386
TNFSF11	570	2027	3673	2035	1451	2873
MTRF1	92	202	108	139	116	54
SPART-AS1	0	0	8	3	10	12
SOHLH2	0	49	17	47	56	5
DNAJC15	51	10	14	18	134	68
PROSER1	178	1178	464	355	317	556
UFM1	966	3836	3339	2667	1845	1384
WBP4	1752	932	1500	1329	1335	375
ELF1	160	570	651	795	627	664
SMAD9	6	160	114	42	53	86
HSPH1	904	3277	3592	4932	2662	2779
KBTBD7	10	89	47	87	64	95
ALG5	96	394	404	538	359	222
EXOSC8	188	451	397	377	477	310
ETF1	2155	4333	4680	6704	3158	2153
TGFBI	8	60	119	142	1207	35
FAM53C	731	2139	1960	1872	1592	1180
SIL1	410	1616	2841	2116	1456	687
PAIP2	890	2803	2155	3165	3357	1589
MYOT	0	4	0	0	0	0
KDM3B	655	1778	1945	1435	1315	1164
EGR1	12213	79123	58388	60164	45166	30784
SERP1	1831	4068	4983	4155	3825	1953
PLS1	344	863	463	743	654	472
ZFP30	40	100	118	73	97	46
NR2C1	100	471	389	333	316	296
UTP20	249	857	1035	1671	965	837
TMPO	185	557	525	253	687	521
ARL1	569	1670	1337	1405	1565	694
GLT8D2	4	5	25	28	39	6
MTERF2	126	211	445	178	241	216
SOCS2	354	1122	584	446	558	404
NFYB	302	546	682	524	551	735
WASHC3	540	673	865	576	760	390
APAF1	57	288	146	119	141	191
DUSP4	18	106	91	171	151	42
CLU	24561	32676	52977	8563	24208	16579
TNFRSF10B	453	3216	2325	3030	1679	1173
SORBS3	1020	1477	1768	931	851	456
PTK2B	48	398	239	955	487	431
CHRNA2	0	0	0	0	4	4
ADRA1A	0	0	0	6	0	0
PPP3CC	433	578	952	614	813	392
PDLIM2	172	281	381	310	499	172
EPHX2	26	112	125	191	93	58
RNF170	379	571	505	333	422	276
NPPB	0	19	0	14	0	2
UBIAD1	400	642	878	968	525	333
TARDBP	230	729	586	652	615	479
TNFRSF8	0	0	0	4	7	6
ZNF706	240	634	694	900	756	341
LYPLA1	131	374	288	376	365	470
CRISPLD1	0	6	9	6	4	2
COPS5	444	1239	1471	1568	1564	835
RDH10	22	197	180	260	124	87
EPX	0	3	0	0	0	0
AKAP1	121	617	548	646	411	165
COIL	180	248	318	213	276	171
TRIM25	567	1464	2004	1405	1315	1147
SCPEP1	116	643	658	711	497	264
SPOP	1083	824	841	985	980	567
TBX2	0	16	21	23	4	0
SLC35B1	393	710	1189	884	964	465
TBX4	0	0	0	4	0	0
NACA3P	2	1	7	5	2	0
TEX14	28	15	17	44	34	7
FAM117A	98	514	339	301	213	134
NCAPH	24	26	22	2	58	76
LRAT	2785	2855	3413	762	2042	942
TMEM131L	108	257	360	388	363	168
MND1	6	54	26	26	28	14
TRIM6	46	43	38	34	28	42
ABCC11	0	2	4	2	0	0
TENT4B	165	527	289	493	233	248
ADCY7	127	276	204	136	329	180
CEP89	1445	1801	3510	1761	1281	957
TSHZ3	68	280	348	127	207	100
ECHDC2	1043	905	1036	1153	682	366
PLBD1	62	146	83	233	215	67
TAS2R10	0	0	0	2	0	6
PRB2	106	994	378	276	70	171
PYROXD1	26	331	365	449	301	78
KCNJ8	42	262	103	22	80	59
BCL2L14	0	0	0	5	0	0
AL139327.1	0	1	0	0	0	0
PSPC1	723	1729	1956	2054	1900	892
ZNF549	17	335	275	144	158	206
A1BG	943	529	909	409	774	192
ZSCAN18	1384	2550	1416	2130	2396	755
ZNF211	127	518	478	319	361	322
PDZRN3	175	834	294	458	269	75
RGSL1	1	0	0	0	0	0
LHX4	0	49	0	67	44	21
RNF2	166	567	593	532	469	405
TRMT1L	93	455	390	267	322	343
SEC22A	166	262	396	344	321	213
CSTA	0	3	9	25	111	4
POPDC2	182	253	461	423	349	177
B4GALT4	557	887	1438	889	851	570
NAA50	666	2163	1439	1861	1541	1195
CD80	0	3	0	11	18	4
KIF18A	18	95	19	143	61	46
DESI2	91	1001	813	893	621	652
MAPK8IP1	460	1387	1746	1344	714	715
CRY2	306	887	575	1444	453	87
PEX16	548	893	1275	1088	847	463
DEPDC7	0	26	5	16	25	9
CAT	247	1370	1045	1975	1655	630
PILRB	381	419	321	418	181	119
ZMYM2	261	1608	1302	1201	969	1108
GJB6	0	0	0	6	0	4
GJA3	0	8	63	20	22	48
TBC1D15	351	965	942	1117	1072	792
ADGRB2	31	53	142	91	51	60
HCRTR1	0	3	0	3	0	0
ZCCHC17	2363	2506	3081	2737	2009	1007
FABP3	950	2801	733	269	1432	151
KHDRBS1	1511	3451	3219	3754	3239	1853
TMEM39B	112	268	408	474	263	174
CCRL2	2	55	8	25	46	5
CCR2	0	22	0	44	28	6
POLR3GL	1336	619	1112	517	797	328
TNFSF10	0	0	16	12	131	16
ZNF639	89	354	351	395	168	217
SLITRK3	0	3	3	2	0	0
PIK3CA	175	572	683	501	558	795
PDS5A	889	2502	3205	2451	2229	2137
TMEM156	1	0	0	1	0	0
LIAS	94	92	201	139	117	84
TMEM54	253	160	288	254	196	101
ZSCAN20	46	196	133	112	104	120
CSMD2	3	0	0	0	0	2
HPCA	2	22	20	0	13	6
LRIF1	61	433	364	143	216	192
TMIGD3	0	2	0	0	22	0
CLCC1	173	1018	811	556	583	388
GPSM2	53	96	90	74	155	161
GTDC1	215	726	1055	987	696	592
CXCR4	217	1760	1324	1298	756	1136
ZRANB3	51	137	146	118	137	111
ACVR2A	24	79	38	39	30	34
POLK	32	383	145	384	191	214
SV2C	6	392	0	2	12	0
FLT3	0	0	0	0	2	0
RPL21	21280	11640	21758	23684	21657	6666
MTIF3	817	946	1148	903	1173	523
GTF3A	2364	1634	2411	2534	2021	878
RASL11A	112	329	391	1203	229	168
UBL3	181	772	508	536	457	374
FYTTD1	454	1036	1105	591	1233	1334
MTERF4	153	391	536	372	530	220
XPNPEP2	0	76	6	23	6	0
SASH3	26	6	24	88	325	41
OCRL	1190	5154	2297	4615	2033	2119
OBP2A	0	0	2	0	0	0
MRPS2	1041	1069	1905	1638	979	796
FMOD	0	22	8	3	0	0
MYOG	40	9	8	0	0	0
LAX1	5	19	16	15	10	8
KIAA1191	2847	6419	2151	3638	1949	2224
COPA	2184	7524	6507	6445	5794	3870
CD244	0	0	2	4	21	2
LY9	18	0	0	7	5	0
HS3ST2	0	10	0	0	0	11
RBBP6	2309	5307	5831	6404	3866	1996
ZC3H7A	444	1097	1349	1013	935	602
PRM2	0	0	0	0	0	1
SERAC1	123	335	231	185	337	228
ANXA11	1273	2402	3775	2465	3045	1322
LDB3	22	28	22	4	4	14
OPN4	0	7	2	5	7	0
SHLD2	235	936	1158	1368	856	618
PRXL2A	1764	4013	3197	1798	1367	1188
ZNF205	675	631	1186	708	1008	450
NAA60	1086	1841	2737	1121	1113	616
RPL5	12480	9480	17245	17055	16180	7876
ODF2L	178	330	278	269	266	152
PTGFR	39	100	137	132	122	190
SPATA1	0	10	10	4	6	7
TRMT13	64	204	135	152	172	164
LRRC39	16	23	54	22	0	11
RWDD3	103	147	175	113	164	85
ZNF644	129	326	277	374	307	385
CCDC18	131	210	64	77	95	94
RPAP2	399	712	656	451	566	440
PQLC1	2372	2679	1501	1318	1432	1251
BBS9	111	233	207	204	257	135
PMS2	254	556	570	542	364	324
ZMIZ2	1833	3551	2731	2693	2050	1189
OCM	0	0	0	3	0	0
SEPT7	1815	3725	4384	5741	5410	3261
EEPD1	31	25	36	84	57	30
KIAA0087	0	0	0	2	0	0
KLHL7	118	482	447	313	450	304
HERPUD2	176	1081	876	872	647	552
CBX3	1118	2532	3241	4754	3119	2242
HNRNPA2B1	5001	12306	12210	19834	16059	6169
WIPF3	6114	12155	14163	5391	9809	11239
NXPH1	0	4	5	0	0	3
NPY	0	9	0	23	6	0
FAM126A	156	342	289	191	301	215
HOXA7	0	18	8	0	0	0
INHBA	5197	5469	2898	7227	3185	985
FKBP9	291	3678	1864	1306	1654	1364
NT5C3A	18	226	175	175	210	116
ARL4A	185	360	534	571	305	164
CCZ1	567	1037	1437	1267	985	517
POLM	200	350	316	312	216	219
RAMP3	0	5	0	5	0	0
MRM2	316	574	517	314	557	264
TWIST1	14	12	41	29	25	14
SMU1	608	1763	1873	2132	1484	978
GLIPR2	179	106	369	190	428	236
SLC25A51	187	275	385	353	278	224
CLTA	2809	1933	2844	3329	5384	1589
RECK	25	166	186	165	166	184
SPINK4	3	0	0	0	0	0
ACO1	466	2042	1610	1688	1636	879
PHF24	114	282	141	92	76	33
DNAI1	0	6	0	0	0	0
DCAF10	776	1151	599	698	738	711
CNTFR	0	0	4	2	0	0
KIAA1549	98	211	134	189	121	153
TRIM24	1686	5069	2965	2679	2523	2006
CYREN	267	658	722	565	617	244
CALD1	3984	2838	2290	2466	1968	1068
AKR1D1	0	5	0	0	0	0
NUDT10	677	1527	2431	1163	2411	1132
SFTPA1	0	0	0	2	0	2
PLAU	0	0	6	21	84	18
SRGN	591	13030	7035	5558	5294	4902
CHST3	3861	25048	16650	11157	8019	8124
BICC1	119	341	313	144	296	232
CISD1	117	167	336	362	294	198
EGR2	310	1459	2103	3427	3674	1771
ECD	173	728	554	1022	848	392
P4HA1	291	2943	2027	2027	1992	1569
SLC25A16	129	290	325	243	225	197
ZWINT	72	79	116	60	144	67
VPS26A	466	619	875	1025	535	764
RBM19	893	2575	2074	3931	2528	1200
CIT	44	216	81	97	102	87
IFT81	98	321	186	234	247	215
ACADS	504	690	943	918	734	325
HVCN1	41	76	14	17	60	26
NME2P1	0	0	0	1	0	0
DDX54	2149	2476	3316	2868	2988	1106
MED13L	365	1436	911	1133	870	1039
CDKN2C	37	64	64	97	87	59
RNF11	556	1950	1452	1255	985	966
RASSF8	332	636	1443	884	548	503
BHLHE41	0	448	131	433	80	53
SSPN	166	125	126	138	104	95
ITPR2	350	3191	1771	2004	1208	1709
CCDC91	375	568	402	482	436	161
NECAB1	11	27	25	0	12	6
WWP1	168	484	463	502	412	273
ACOT9	688	1352	1499	2393	1318	649
PRDX4	1035	5283	5454	5135	7549	2302
DDX39A	1656	1939	2223	2433	1436	731
PKN1	3249	4424	5777	4284	3725	2222
TRIR	5945	6640	10329	6648	9590	3412
ADGRE5	9	249	114	922	716	25
WDR83	170	308	256	282	170	113
GIPC1	2365	3505	5472	4700	4104	1911
ACTRT1	2	0	0	0	0	0
SPRYD7	127	433	424	303	406	266
EBPL	49	127	216	379	275	122
ATP7B	59	409	386	362	285	220
ZC3H13	9726	3509	5151	3722	3713	2220
NLN	232	1079	1095	967	843	394
CENPK	13	13	3	3	35	16
OPTN	2957	2778	3788	3101	3602	1499
ITIH5	446	1967	1937	380	854	821
ATF1	141	450	326	477	373	301
TSFM	292	748	715	1175	829	604
ARHGAP9	112	374	164	879	702	168
NCKAP1L	0	2	29	28	336	11
MMP19	560	1462	3306	2269	2965	2013
PFDN5	4041	2918	4985	5294	5703	1555
SPATS2	576	1378	1271	889	990	537
ORMDL2	386	1110	1355	1752	1131	520
NR4A1	14641	41426	51930	58700	24715	8784
PDE1B	172	84	110	90	145	72
HOXC13	0	0	0	0	2	4
CDK2	68	256	453	202	302	182
LRP1	1595	13745	6585	4449	5317	3571
HOXC11	2	5	3	0	0	7
ATG101	1537	2496	2969	4214	2802	713
NFE2	0	0	4	32	240	23
IKZF4	97	182	60	71	57	65
SMUG1	372	457	490	305	378	132
TUBA1B	10311	19169	15679	17086	17218	5823
EEF1AKMT3	92	184	176	154	123	71
KBTBD4	330	533	368	370	565	167
SARDH	199	1299	250	529	467	76
DBH	0	229	15	24	56	7
ATPAF1	409	511	551	595	526	313
STIL	26	81	36	37	72	52
HJURP	8	45	44	0	51	46
COL10A1	0	8	25	7	23	6
AMD1	502	1636	2399	2794	1612	1811
NDUFAF4	122	213	331	359	328	148
USP45	12	57	59	86	93	102
PLP1	649	1964	1087	3919	2664	1178
MORF4L2	5466	16702	18700	16837	20098	10531
RAB9B	6	34	35	12	25	60
NRK	62	171	111	33	194	93
FAM199X	203	815	604	563	500	615
ESX1	0	0	0	0	8	0
RAB9A	154	383	352	891	872	276
METTL8	218	185	261	253	159	113
TTC21B	44	195	138	169	223	110
NMI	229	336	586	492	663	285
TNFAIP6	0	26	17	188	40	10
BAZ2B	2783	622	977	599	987	523
SLC36A1	127	675	551	571	404	361
LPGAT1	422	2101	1567	2637	1641	1037
BATF3	88	92	154	58	96	19
G0S2	4351	4571	11986	15415	14372	7046
KCNJ2	0	0	0	5	2	17
RAP2C	186	674	451	464	317	482
EXOSC9	242	417	695	733	774	251
PLA2G12A	1059	2239	2222	1746	2076	1305
B9D2	130	449	407	656	386	183
COQ8B	1027	1927	2141	2383	2094	1023
PFKFB2	61	227	141	186	105	77
C4BPA	0	0	0	1	0	0
C4BPB	0	5	0	2	11	0
ZNF137P	6	35	29	20	15	13
RAB38	60	175	83	85	95	71
GPR83	8	4	10	4	13	3
AGO2	183	1052	776	1491	604	491
MXD4	2933	3733	7016	5261	4531	2629
PMS2P5	1	5	19	5	2	1
CKS2	149	374	465	1190	729	413
DAW1	0	54	22	39	9	8
ACSL3	223	1762	984	728	975	668
CHPF	6866	21093	15994	10864	9535	4590
DNPEP	749	1954	1616	1514	1177	712
INHA	8644	56573	31065	35044	19130	5605
OBSL1	13049	34144	20046	11630	12141	7106
SLC12A4	754	2113	1664	2000	1307	953
ENKD1	440	447	707	574	634	310
GCNT7	0	0	3	5	10	0
CTCFL	0	6	0	2	13	0
HMGB1P1	0	0	8	0	1	0
FAM210B	1091	1110	1608	1630	1571	739
PI3	0	0	0	12	62	24
FAM209A	0	4	3	8	8	1
SNX21	1239	1476	1839	1608	1601	459
SLPI	0	0	0	18	95	11
WFDC3	217	167	190	6	581	60
TTPAL	123	158	172	298	160	160
PREX1	151	148	247	395	906	207
KCNS1	6	618	417	78	277	142
